"","year","rating","id","imdbid","title","titleId"
"54",1894,0,9654,"0177707","Dickson Experimental Sound Film","tt0177707"
"55",1894,0,9655,"0000006","Chinese Opium Den","tt0000006"
"56",1894,0,9656,"0000007","Corbett and Courtney Before the Kinetograph","tt0000007"
"57",1894,0,9662,"2049440","Falling Cat","tt2049440"
"58",1894,0,9663,"0312728","Glenroy Bros., No. 2","tt0312728"
"59",1894,0,9664,"0256782","Glenroy Brothers","tt0256782"
"60",1894,0,9668,"0203646","Leonard-Cushing Fight","tt0203646"
"61",1894,0,9671,"0277115","Luis Martinetti, Contortionist","tt0277115"
"62",1894,0,9673,"2161519","Sandow No. 2","tt2161519"
"63",1894,0,9674,"2161521","Sandow No. 3","tt2161521"
"64",1894,0,9681,"0413219","Reve au coin du feu","tt0413219"
"65",1894,0,9779,"0000009","Miss Jerry","tt0000009"
"66",1895,0,5444,"0000014","Tables Turned on the Gardener","tt0000014"
"67",1895,0,6200,"0132134","Execution of Mary, Queen of Scots, The","tt0132134"
"68",1895,1,9679,"0000011","Akrobatisches Potpourri","tt0000011"
"69",1895,0,9683,"0154152","Annabelle Serpentine Dance","tt0154152"
"70",1895,0,9714,"0000017","Italienischer Bauerntanz","tt0000017"
"71",1895,1,9715,"0000029","Baby&#39;s Dinner","tt0000029"
"72",1895,0,9766,"0477266","Billy Edwards and the Unknown","tt0477266"
"73",1895,0,9767,"0000022","Blacksmith Scene","tt0000022"
"74",1895,0,9787,"0000016","Barque sortant du port","tt0000016"
"75",1896,0,4982,"0000091","House of the Devil, The","tt0000091"
"76",1896,0,5406,"0000131","Une nuit terrible","tt0000131"
"77",1896,0,5445,"0223341","La fee aux choux","tt0223341"
"78",1896,0,6199,"0000012","Arrival of a Train, The","tt0000012"
"79",1896,0,9672,"1428455","Sandow","tt1428455"
"80",1896,0,9949,"1672718","Alger: rue Bab-Azoun","tt1672718"
"81",1896,0,9950,"1736599","Lassage des boeufs pour le labour","tt1736599"
"82",1896,0,9901,"0222137","Lancement d&#39;un navire","tt0222137"
"83",1897,0,9328,"0000041","Bataille de neige","tt0000041"
"84",1898,0,4978,"0135696","Four Heads Are Better Than One","tt0135696"
"85",1898,0,5410,"0000211","Astronomer&#39;s Dream; or, The Man in the Moon, The","tt0000211"
"86",1898,0,5411,"0224240","Temptation of St. Anthony, The","tt0224240"
"87",1899,0,4994,"0000246","A Turn of the Century Illusionist","tt0000246"
"88",1899,3,5914,"0000230","Cinderella","tt0000230"
"89",1900,0,1594,"0291476","Sherlock Holmes Baffled","tt0291476"
"90",1900,0,4271,"0000300","Enchanted Drawing, The","tt0000300"
"91",1900,0,4343,"0000304","Grandma&#39;s Reading Glass","tt0000304"
"92",1900,0,4344,"0000272","As Seen Through A Telescope (a.k.a The Professor and His Field Glass)","tt0000272"
"93",1900,0,4345,"0257654","Explosion of a Motor Car (a.k.a The Dlights of Automobiling)","tt0257654"
"94",1900,0,4346,"0000306","Hamlet ( Le Duel d&#39;Hamlet)","tt0000306"
"95",1900,0,4993,"0135453","One-Man Band, The","tt0135453"
"96",1900,0,5069,"0377995","Grandma Threading Her Needle","tt0377995"
"97",1900,0,5072,"0230746","Searching Ruins on Broadway, Galveston, for Dead Bodies","tt0230746"
"98",1900,0,5438,"0000313","Let Me Dream Again","tt0000313"
"99",1900,0,5446,"0227438","Doctor and the Monkey, The","tt0227438"
"100",1901,0,4995,"0000359","L&#39;homme a la tete en caoutchouc","tt0000359"
"101",1901,0,5437,"0258104","Reve et realite","tt0258104"
"102",1901,0,5500,"0131934","Bluebeard","tt0131934"
"103",1902,0,1252,"0000417","Le voyage dans la lune","tt0000417"
"104",1902,0,5431,"0229024","Gulliver&#39;s Travels","tt0229024"
"105",1902,0,5432,"0367177","Twentieth Century Tramp; or, Happy Hooligan and His Airship, The","tt0367177"
"106",1902,0,5443,"0000413","Mephistopheles&#39; School of Magic","tt0000413"
"107",1903,0,1319,"0000439","Great Train Robbery, The","tt0000439"
"108",1903,0,5002,"0135180","Infernal Boiling Pot, The","tt0135180"
"109",1903,0,5063,"0000455","Music Lover, The","tt0000455"
"110",1903,0,5064,"0223755","Monster, The","tt0223755"
"111",1903,0,5683,"0189498","Enchanted Well, The","tt0189498"
"112",1904,0,5224,"0215664","Cook in Trouble, The","tt0215664"
"113",1904,0,5404,"0135179","Living Playing Cards, The","tt0135179"
"114",1904,0,5601,"0135631","Untamable Whiskers, The","tt0135631"
"115",1904,0,6135,"0000499","Le voyage a travers l&#39;impossible","tt0000499"
"116",1905,0,5003,"0135690","Scheming Gambler&#39;s Paradise, The","tt0135690"
"117",1905,0,5602,"0215575","Black Imp, The","tt0215575"
"118",1906,1,1349,"0000574","Story of the Kelly Gang, The","tt0000574"
"119",1906,0,5024,"0216016","Mysterious Retort, The","tt0216016"
"120",1906,0,5435,"0000554","Humorous Phases of Funny Faces","tt0000554"
"121",1906,0,5603,"0135122","Hilarious Posters, The","tt0135122"
"122",1906,0,5684,"0000567","400 Tricks of the Devil, The","tt0000567"
"123",1906,0,6206,"0449172","A Funny Shave","tt0449172"
"124",1906,0,7215,"1260944","Consequence of Feminism, The","tt1260944"
"125",1907,0,5223,"0215737","Eclipse: Courtship of the Sun and Moon, The","tt0215737"
"126",1907,0,5615,"0215817","Good Glue Sticks","tt0215817"
"127",1908,0,6231,"1802750","Unusual Cooking","tt1802750"
"128",1909,2,4409,"0001009","Princess Nicotine; or, The Smoke Fairy","tt0001009"
"129",1909,0,5635,"0127948","Devilish Tenant, The","tt0127948"
"130",1909,1,6211,"0277596","Le barometre de la fidelite","tt0277596"
"131",1910,3,1464,"0232821","Tilly the Tomboy Visits the Poor","tt0232821"
"132",1910,0,4983,"0486978","Mobilier fidele","tt0486978"
"133",1910,0,5685,"1515725","A Trip to Mars","tt1515725"
"134",1912,2,2003,"0002101","Cleopatra","tt0002101"
"135",1912,0,2005,"0002281","Invaders, The","tt0002281"
"136",1912,0,5357,"0277865","Max and the Donkey","tt0277865"
"137",1913,0,5364,"0003512","Voyage of the Bourrichon Family, The","tt0003512"
"138",1913,0,5915,"0003424","Suspense","tt0003424"
"139",1914,2,4457,"0003973","A Florida Enchantment","tt0003973"
"140",1915,2,1258,"0004972","Birth of a Nation, The","tt0004972"
"141",1916,3,2008,"0006745","Gretchen the Greenhorn","tt0006745"
"142",1916,3,2014,"0279914","Lady Windermere&#39;s Fan","tt0279914"
"143",1916,0,5368,"0007507","Vagabond, The","tt0007507"
"144",1916,0,5944,"0006864","Intolerance: Love&#39;s Struggle Throughout the Ages","tt0006864"
"145",1916,3,7004,"0007361","Snow White","tt0007361"
"146",1917,3,1981,"0008652","A Tale of Two Cities","tt0008652"
"147",1917,3,1993,"0008499","Rebecca of Sunnybrook Farm","tt0008499"
"148",1917,3,1994,"0008443","Poor Little Rich Girl, The","tt0008443"
"149",1917,0,2015,"0008519","A Romance of the Redwoods","tt0008519"
"150",1917,2,2019,"0008489","Raffles, the Amateur Cracksman","tt0008489"
"151",1918,3,1996,"0009682","Tarzan of the Apes","tt0009682"
"152",1918,3,2007,"0009652","Stella Maris","tt0009652"
"153",1918,0,5441,"0008844","Are Crooks Dishonest?","tt0008844"
"154",1918,3,7108,"0010281","Ich mochte kein Mann sein","tt0010281"
"155",1919,3,2018,"0010879","When the Clouds Roll by","tt0010879"
"156",1919,0,2588,"0009968","Broken Blossoms or The Yellow Man and the Girl","tt0009968"
"157",1920,0,1306,"0010323","Cabinet of Dr. Caligari, The","tt0010323"
"158",1920,3,1991,"0011588","Pollyanna","tt0011588"
"159",1920,3,5948,"0011870","Within Our Gates","tt0011870"
"160",1921,3,1263,"0012532","Orphans of the Storm","tt0012532"
"161",1921,0,3945,"0012349","Kid, The","tt0012349"
"162",1921,3,4204,"0011979","Blot, The","tt0011979"
"163",1921,2,5898,"0012364","K&ouml;rkarlen (The Phantom Carriage)","tt0012364"
"164",1922,2,1307,"0013442","Nosferatu, eine Symphonie des Grauens","tt0013442"
"165",1922,2,1631,"0013496","Phantom, The","tt0013496"
"166",1922,2,1778,"0013428","Nathan der Weise","tt0013428"
"167",1922,1,2001,"0013367","Man from Beyond, The","tt0013367"
"168",1922,3,3800,"0013257","H&auml;xan: Witchcraft Through the Ages","tt0013257"
"169",1922,0,5361,"0012543","Paleface, The","tt0012543"
"170",1922,1,5901,"0013427","Nanook of the North","tt0013427"
"171",1922,3,5958,"0013140","Foolish Wives","tt0013140"
"172",1922,3,5967,"0013086","Dr. Mabuse, der Spieler - Ein Bild der Zeit","tt0013086"
"173",1923,0,1961,"0014429","Safety Last!","tt0014429"
"174",1923,0,1967,"0014611","Why Worry?","tt0014611"
"175",1923,2,1998,"0014469","Silent Command, The","tt0014469"
"176",1923,3,5888,"0013626","La souriante Madame Beudet","tt0013626"
"177",1923,0,5949,"0014341","Our Hospitality","tt0014341"
"178",1923,2,8947,"0014624","A Woman of Paris","tt0014624"
"179",1924,2,1337,"0015175","Die Nibelungen","tt0015175"
"180",1924,2,1338,"0015174","Kriemhild&#39;s Revenge","tt0015174"
"181",1924,0,1264,"0015400","Thief of Bagdad, The","tt0015400"
"182",1924,0,1960,"0015498","Wild Oranges","tt0015498"
"183",1924,0,2009,"0015163","Navigator, The","tt0015163"
"184",1924,0,2011,"0015324","Sherlock Jr.","tt0015324"
"185",1924,0,2016,"0014945","Girl Shy","tt0014945"
"186",1924,3,2020,"0015116","Manhandled","tt0015116"
"187",1924,0,2413,"1764657","Great White Silence, The","tt1764657"
"188",1924,0,6209,"0013845","Help!","tt0013845"
"189",1924,3,8458,"0015881","Greed","tt0015881"
"190",1925,2,1305,"0016220","Phantom of the Opera, The","tt0016220"
"191",1925,0,1308,"0015648","Battleship Potemkin","tt0015648"
"192",1925,0,1309,"0015864","Gold Rush, The","tt0015864"
"193",1925,0,1978,"0015863","Go West","tt0015863"
"194",1925,0,2012,"0015841","Freshman, The","tt0015841"
"195",1925,0,3077,"0016332","Seven Chances","tt0016332"
"196",1925,2,5514,"0016039","Lost World, The","tt0016039"
"197",1925,2,5962,"0015624","Big Parade, The","tt0015624"
"198",1925,0,5991,"0015361","Stachka","tt0015361"
"199",1926,1,1334,"0017449","Temptress, The","tt0017449"
"200",1926,1,1260,"0016884","Flesh and the Devil","tt0016884"
"201",1926,0,1310,"0017925","General, The","tt0017925"
"202",1926,0,1966,"0016895","For Heaven&#39;s Sake","tt0016895"
"203",1926,3,3217,"0017410","So&#39;s Your Old Man","tt0017410"
"204",1926,1,5974,"0015532","Die Abenteuer des Prinzen Achmed","tt0015532"
"205",1927,3,1227,"0018033","It","tt0018033"
"206",1927,1,1267,"0017136","Metropolis","tt0017136"
"207",1927,2,1312,"0018192","Abel Gance&#39;s Napoleon","tt0018192"
"208",1927,0,1311,"0018528","Unknown, The","tt0018528"
"209",1927,2,1632,"0018455","Sunrise: A Song of Two Humans","tt0018455"
"210",1927,0,1964,"0018051","Kid Brother, The","tt0018051"
"211",1927,0,1982,"0018199","Nevada","tt0018199"
"212",1927,3,2010,"0018183","My Best Girl","tt0018183"
"213",1927,1,3118,"0018578","Wings","tt0018578"
"214",1927,1,5975,"0018037","Jazz Singer, The","tt0018037"
"215",1927,1,7324,"0017825","Downhill [When Boys Leave Home]","tt0017825"
"216",1928,0,1314,"0019254","Passion of Joan of Arc, The","tt0019254"
"217",1928,0,1963,"0019412","Speedy","tt0019412"
"218",1928,0,1968,"0018773","Circus, The","tt0018773"
"219",1928,0,1970,"0018742","Cameraman, The","tt0018742"
"220",1928,0,1971,"0019421","Steamboat Bill, Jr.","tt0019421"
"221",1928,0,1972,"0019304","Racket, The","tt0019304"
"222",1928,0,1977,"0018684","Beggars of Life","tt0018684"
"223",1928,1,1979,"0019290","Power of the Press, The","tt0019290"
"224",1928,0,1980,"0018937","A Girl in Every Port","tt0018937"
"225",1928,3,2013,"0019258","Patsy, The","tt0019258"
"226",1928,2,2017,"0019571","While the City Sleeps","tt0019571"
"227",1928,2,2021,"0019130","Man Who Laughs, The","tt0019130"
"228",1928,1,5912,"0018806","Crowd, The","tt0018806"
"229",1928,2,5984,"0018839","Docks of New York, The","tt0018839"
"230",1928,2,9314,"0019237","Our Dancing Daughters","tt0019237"
"231",1929,0,1313,"0020530","Un chien andalou","tt0020530"
"232",1929,2,1953,"0019777","Cocoanuts, The","tt0019777"
"233",1929,0,1962,"0020572","Welcome Danger","tt0020572"
"234",1929,3,2324,"0018737","Pandora&#39;s Box (Die B&uuml;chse der Pandora)","tt0018737"
"235",1929,0,3897,"0019760","Man with a Movie Camera","tt0019760"
"236",1929,2,5979,"0019702","Blackmail","tt0019702"
"237",1929,0,6046,"0020286","Throw of the Dice","tt0020286"
"238",1929,3,7287,"0021015","Juno and the Paycock [The Shame of Mary Boyle]","tt0021015"
"239",1929,3,8464,"0019729","Broadway Melody","tt0019729"
"240",1930,1,1315,"0020697","Blue Angel, The","tt0020697"
"241",1930,0,1316,"0020629","All Quiet on the Western Front","tt0020629"
"242",1930,3,1326,"0020641","Anna Christie","tt0020641"
"243",1930,3,3713,"0021040","Ladies of Leisure","tt0021040"
"244",1930,0,3871,"0021577","L&#39;Age d&#39;Or","tt0021577"
"245",1930,1,3865,"0021156","Morocco","tt0021156"
"246",1930,3,3927,"0021148","Min and Bill","tt0021148"
"247",1930,2,4253,"0020670","Be Yourself","tt0020670"
"248",1930,3,6782,"0020668","Bat Whispers, The","tt0020668"
"249",1930,3,7291,"0021165","Murder!","tt0021165"
"250",1930,3,8463,"0020640","Animal Crackers","tt0020640"
"251",1931,3,610,"0022100","M","tt0022100"
"252",1931,3,628,"0022183","M&auml;dchen in Uniform","tt0022183"
"253",1931,3,636,"0022208","Night Nurse","tt0022208"
"254",1931,1,1317,"0021884","Frankenstein","tt0021884"
"255",1931,3,1327,"0020642","Anna Christie","tt0020642"
"256",1931,3,1333,"0023196","Mata Hari","tt0023196"
"257",1931,0,1633,"0022458","Tabu: A Story of the South Seas","tt0022458"
"258",1931,3,1828,"0022000","Indiscreet","tt0022000"
"259",1931,0,1956,"0022054","Last Flight, The","tt0022054"
"260",1931,0,1974,"0022251","Pardon Us","tt0022251"
"261",1931,2,1985,"0021814","Dracula","tt0021814"
"262",1931,1,2384,"0022158","Monkey Business","tt0022158"
"263",1931,3,2705,"0021749","City Lights","tt0021749"
"264",1931,2,4243,"0022074","Smiling Lieutenant, The","tt0022074"
"265",1931,3,5741,"0021735","Cheat, The","tt0021735"
"266",1931,3,5934,"0022286","Public Enemy, The","tt0022286"
"267",1931,3,6030,"0021739","La Chienne","tt0021739"
"268",1931,1,6031,"0022599","A Nous la Liberte","tt0022599"
"269",1931,1,6043,"0021079","Little Caesar","tt0021079"
"270",1931,3,7294,"0022395","Skin Game, The","tt0022395"
"271",1931,2,7296,"0023395","Rich and Strange [East of Shanghai]","tt0023395"
"272",1931,3,8213,"0021815","Dracula","tt0021815"
"273",1931,3,8467,"0021746","Cimarron","tt0021746"
"274",1931,1,8557,"0021985","Hyppolit a lakaj","tt0021985"
"275",1931,3,9095,"0022397","Skippy","tt0022397"
"276",1931,1,9110,"0021730","Champ, The","tt0021730"
"277",1932,1,1318,"0023042","I Am a Fugitive from a Chain Gang","tt0023042"
"278",1932,3,1328,"0022958","Grand Hotel","tt0022958"
"279",1932,2,1983,"0022614","Age of Consent, The","tt0022614"
"280",1932,1,2383,"0023027","Horse Feathers","tt0023027"
"281",1932,0,2550,"0023694","White Zombie","tt0023694"
"282",1932,1,2767,"0022718","Boudu Saved from Drowning","tt0022718"
"283",1932,1,3530,"0023634","I Was Born, But...","tt0023634"
"284",1932,0,3658,"0023238","Most Dangerous Game, The","tt0023238"
"285",1932,2,3659,"0022913","Freaks","tt0022913"
"286",1932,1,3844,"0024188","Island of Lost Souls","tt0024188"
"287",1932,3,4775,"0023293","Old Dark House, The","tt0023293"
"288",1932,3,5742,"0023213","Merrily We Go to Hell","tt0023213"
"289",1932,2,5783,"0022940","Girl from Calgary, The","tt0022940"
"290",1932,3,5910,"0023649","Vampyr","tt0023649"
"291",1932,3,5929,"0023458","Shanghai Express","tt0023458"
"292",1932,3,6051,"0023590","Three on a Match","tt0023590"
"293",1932,2,6052,"0023158","Love Me Tonight","tt0023158"
"294",1932,1,6063,"0023427","Scarface","tt0023427"
"295",1932,3,6092,"0023385","Red-Headed Woman","tt0023385"
"296",1932,1,6176,"0023935","Death Kiss, The","tt0023935"
"297",1932,3,6852,"0023582","Thirteen Women","tt0023582"
"298",1932,1,6990,"0022694","Blue Light (Das Blaue Licht), The","tt0022694"
"299",1932,0,7301,"0023285","Number 17","tt0023285"
"300",1933,3,802,"0024028","Footlight Parade","tt0024028"
"301",1933,3,1330,"0024481","Queen Christina","tt0024481"
"302",1933,1,1248,"0024473","Private Life of Henry VIII., The","tt0024473"
"303",1933,0,2229,"0024216","King Kong","tt0024216"
"304",1933,3,2231,"0024264","Little Women","tt0024264"
"305",1933,3,3188,"0023753","Alice in Wonderland","tt0023753"
"306",1933,3,3210,"0024727","Vampire Bat, The","tt0024727"
"307",1933,3,4335,"0024034","42nd Street","tt0024034"
"308",1933,3,5029,"0023932","Day of Reckoning","tt0023932"
"309",1933,1,5185,"0023969","Duck Soup","tt0023969"
"310",1933,3,5752,"0024679","Tomorrow at Seven","tt0024679"
"311",1933,3,5916,"0024069","Gold Diggers of 1933","tt0024069"
"312",1933,3,6056,"0024008","Female","tt0024008"
"313",1933,3,6193,"0024625","A Study in Scarlet","tt0024625"
"314",1933,0,6205,"0024432","Peanut Vendor, The","tt0024432"
"315",1933,1,7450,"0024184","Invisible Man, The","tt0024184"
"316",1933,3,7528,"0023775","Baby Face","tt0023775"
"317",1933,1,8346,"0023940","Design for Living","tt0023940"
"318",1933,3,8477,"0023876","Cavalcade","tt0023876"
"319",1933,1,10492,"0024210","Kennel Murder Case, The","tt0024210"
"320",1934,3,621,"0025316","It Happened One Night","tt0025316"
"321",1934,1,1324,"0024961","Cat&#39;s-Paw, The","tt0024961"
"322",1934,3,1325,"0025746","Scarlet Empress, The","tt0025746"
"323",1934,1,1329,"0025617","Painted Veil, The","tt0025617"
"324",1934,1,1246,"0025004","Count of Monte Cristo, The","tt0025004"
"325",1934,1,1270,"0024991","Cleopatra","tt0024991"
"326",1934,1,1379,"0025586","Of Human Bondage","tt0025586"
"327",1934,0,1795,"0024844","L&#39;atalante","tt0024844"
"328",1934,0,1969,"0025423","Lost Patrol, The","tt0025423"
"329",1934,3,4443,"0025822","Spitfire","tt0025822"
"330",1934,3,4702,"0025465","Maniac","tt0025465"
"331",1934,3,5319,"0024831","Anne of Green Gables","tt0024831"
"332",1934,2,5523,"0025424","Lost in the Stratosphere","tt0025424"
"333",1934,3,5821,"0025755","Search for Beauty","tt0025755"
"334",1934,3,6772,"0025091","Evelyn Prentice","tt0025091"
"335",1934,3,7304,"0025452","Man Who Knew Too Much, The","tt0025452"
"336",1934,3,7999,"0025301","Imitation of Life","tt0025301"
"337",1934,0,8653,"0025543","Mystery Liner","tt0025543"
"338",1935,2,595,"0027125","Top Hat","tt0027125"
"339",1935,3,1242,"0026029","39 Steps, The","tt0026029"
"340",1935,2,1261,"0026071","Anna Karenina","tt0026071"
"341",1935,1,1361,"0026752","Mutiny on the Bounty","tt0026752"
"342",1935,3,1685,"0026768","Naughty Marietta","tt0026768"
"343",1935,3,2362,"0026942","Roberta","tt0026942"
"344",1935,3,2756,"0026667","Magnificent Obsession","tt0026667"
"345",1935,1,3881,"0026778","A Night At The Opera","tt0026778"
"346",1935,3,3891,"0026138","Bride of Frankenstein, The","tt0026138"
"347",1935,2,5750,"0026599","Lady in Scarlet, The","tt0026599"
"348",1935,2,5913,"0026939","Riverside Murder, The","tt0026939"
"349",1935,2,7998,"0026663","Mad Love","tt0026663"
"350",1936,1,596,"0028333","Swing Time","tt0028333"
"351",1936,0,1323,"0027977","Modern Times","tt0027977"
"352",1936,1,1237,"0027438","Charge of the Light Brigade, The","tt0027438"
"353",1936,1,1359,"0028216","San Francisco","tt0028216"
"354",1936,2,1360,"0028505","Wife vs. Secretary","tt0028505"
"355",1936,3,1369,"0028096","Petrified Forest, The","tt0028096"
"356",1936,3,1992,"0027996","Mr. Deeds Goes to Town","tt0027996"
"357",1936,3,2363,"0027387","Born to Dance","tt0027387"
"358",1936,0,2554,"0028174","Revolt of the Zombies","tt0028174"
"359",1936,1,2699,"0027562","Earthworm Tractors","tt0027562"
"360",1936,3,2853,"0028021","Osaka Elegy","tt0028021"
"361",1936,3,3280,"0028355","Theodora Goes Wild","tt0028355"
"362",1936,3,3401,"0027698","Great Ziegfeld, The","tt0027698"
"363",1936,3,3548,"0029207","Mandarin Mystery, The","tt0029207"
"364",1936,3,3560,"0027752","Only Son, The","tt0027752"
"365",1936,3,3598,"0028683","Camille","tt0028683"
"366",1936,3,4010,"0028092","Pennies from Heaven","tt0028092"
"367",1936,3,4069,"0028203","Romeo and Juliet","tt0028203"
"368",1936,3,4143,"0027407","Bullets or Ballots","tt0027407"
"369",1936,2,5852,"0028010","My Man Godfrey","tt0028010"
"370",1936,3,5926,"0028212","Sabotage","tt0028212"
"371",1936,2,6096,"0027652","Fury","tt0027652"
"372",1936,3,6174,"0028000","Murder at Glen Athol","tt0028000"
"373",1936,0,6210,"3427056","Il caso Valdemar","tt3427056"
"374",1936,2,7227,"0028356","These Three","tt0028356"
"375",1936,3,7308,"0028231","Secret Agent","tt0028231"
"376",1936,3,7992,"0027545","Dracula&#39;s Daughter","tt0027545"
"377",1937,1,597,"0029546","Shall We Dance","tt0029546"
"378",1937,3,631,"0029604","Stage Door","tt0029604"
"379",1937,3,795,"0029608","Stella Dallas","tt0029608"
"380",1937,2,1332,"0028739","Conquest","tt0028739"
"381",1937,2,1335,"0029682","Topper","tt0029682"
"382",1937,2,1336,"0029162","Lost Horizon","tt0029162"
"383",1937,1,1240,"0029442","Prisoner of Zenda, The","tt0029442"
"384",1937,2,1244,"0029087","Knight Without Armor","tt0029087"
"385",1937,2,1358,"0029377","Parnell","tt0029377"
"386",1937,3,1976,"0029583","Snow White and the Seven Dwarfs","tt0029583"
"387",1937,2,2382,"0028772","A Day at the Races","tt0028772"
"388",1937,0,3968,"0029322","Nothing Sacred","tt0029322"
"389",1937,3,4255,"0029192","Make Way for Tomorrow","tt0029192"
"390",1937,1,5617,"0029565","Murder at the Baskervilles (Silver Blaze)","tt0029565"
"391",1937,2,5740,"0029453","Pepe le Moko","tt0029453"
"392",1937,3,6554,"0028597","Awful Truth, The","tt0028597"
"393",1937,3,7317,"0029811","Girl Was Young, The","tt0029811"
"394",1937,3,7877,"0029217","Marked Woman","tt0029217"
"395",1937,3,8473,"0027552","Bizarre, Bizarre","tt0027552"
"396",1937,1,8478,"0029146","Life of Emile Zola, The","tt0029146"
"397",1937,3,10352,"0029751","Wee Willie Winkie","tt0029751"
"398",1938,2,594,"0029971","Carefree","tt0029971"
"399",1938,3,620,"0030341","Lady Vanishes, The","tt0030341"
"400",1938,3,994,"0030241","Holiday","tt0030241"
"401",1938,0,1238,"0030044","Dawn Patrol, The","tt0030044"
"402",1938,2,1367,"0030287","Jezebel","tt0030287"
"403",1938,2,1378,"0030755","Sisters, The","tt0030755"
"404",1938,0,2467,"0029942","Boys Town","tt0029942"
"405",1938,1,2590,"0030473","Mr. Wong, Detective","tt0030473"
"406",1938,2,3103,"0029843","Adventures of Robin Hood, The","tt0029843"
"407",1938,2,3283,"0029929","Bluebeard&#39;s Eighth Wife","tt0029929"
"408",1938,3,3400,"0029947","Bringing Up Baby","tt0029947"
"409",1938,3,3951,"0030149","Four Daughters","tt0030149"
"410",1938,3,4495,"0030396","Mad Miss Manton, The","tt0030396"
"411",1938,1,6042,"0030127","Baker&#39;s Wife, The","tt0030127"
"412",1938,1,7290,"0029870","Angels with Dirty Faces","tt0029870"
"413",1939,3,174,"0032138","Wizard of Oz, The","tt0032138"
"414",1939,3,291,"0031381","Gone with the Wind","tt0031381"
"415",1939,2,383,"0031235","Dodge City","tt0031235"
"416",1939,3,588,"0032143","Women, The","tt0032143"
