State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source,Location
Mississippi,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,CHIP only,Administrative,23.9,33,24.3,22.1,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.7673, -89.6812)"
Tennessee,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid,Administrative,37.2,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.7449, -86.7489)"
Texas,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid,Hybrid,78.1,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.106, -97.6475)"
Maine,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2015,Medicaid & CHIP,Administrative,66.9,37,48.0,35.5,53.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.6074, -69.3977)"
New Mexico,Primary Care Access and Preventive Care,Child Core Set,Chlamydia Screening in Women,CHL-CH,Percentage of Sexually Active Women Screened: 16-20,2015,Medicaid & CHIP,Administrative,41.5,41,47.6,43.0,53.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.8375, -106.2371)"
Idaho,Dental and Oral Health Services,Child Core Set,Dental Sealants for 6-9 Year Old Children at Elevated Caries Risk,SEAL-CH,Percentage Who Received a Sealant on a First Permanent Molar,2015,CHIP only,Administrative,9.8,25,23.4,18.1,25.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.2394, -114.5103)"
California,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,66.8,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(36.17, -119.7462)"
Oregon,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,89.4,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.5672, -122.1269)"
Oklahoma,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 12-24 months,2015,Medicaid & CHIP,Administrative,96.1,45,95.2,93.2,97.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.5376, -96.9247)"
Minnesota,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,49.9,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(45.7326, -93.9196)"
Arkansas,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,71.1,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(34.9513, -92.3809)"
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2015,Medicaid only,Administrative,19.9,33,24.3,22.1,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2015,Medicaid & CHIP,Administrative,89.1,44,90.0,86.2,91.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.6411, -79.8431)"
Georgia,Primary Care Access and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2015,Medicaid & CHIP,Hybrid,81.6,39,67.1,63.4,73.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.9866, -83.6487)"
Pennsylvania,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid & CHIP,Hybrid,68.1,33,53.0,21.0,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.5773, -77.264)"
Missouri,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid & CHIP,Administrative,17.2,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(38.4623, -92.302)"
Nebraska,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,53.2,51,47.4,40.1,50.0,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b.","(41.1289, -98.2883)"
Georgia,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care: Emergency Department Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2015,Medicaid & CHIP,Administrative,48.7,39,44.2,37.8,51.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.9866, -83.6487)"
Maine,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,95.8,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.6074, -69.3977)"
New York,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid,Administrative,36.5,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.1497, -74.9384)"
Delaware,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated and Engaged in Treatment: 18-64,2015,Medicaid & Dual Eligibles,Administrative,16.1,26,14.7,6.9,20.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.3498, -75.5148)"
Montana,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,CHIP only,Administrative,38.1,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(46.9048, -110.3261)"
South Carolina,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles Who Received Preventive Dental Services,PDENT-CH,Percentage with At Least One Preventive Dental Service,2015,Medicaid only,Administrative,48.4,51,47.4,40.1,50.0,,"Mathematica analysis of FFY 2015 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b.","(33.8191, -80.9066)"
Kansas,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Strategies,2015,Medicaid & Dual Eligibles,NAM CAHPS,36.8,47,37.8,34.4,42.9,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(38.5111, -96.8005)"
North Carolina,Primary Care Access and Preventive Care,Adult Core Set,Breast Cancer Screening,BCS-AD,Percentage of Women Receiving Mammogram: 50-64,2015,Medicaid,Administrative,34.8,33,51.5,45.2,56.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.6411, -79.8431)"
New Hampshire,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,Medicaid only,Hybrid,67.6,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(43.4108, -71.5653)"
Iowa,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,CHIP only,Administrative,40.2,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
Connecticut,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2015,Medicaid & CHIP,Administrative,92.6,45,88.0,84.9,89.6,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(41.5834, -72.7622)"
New Hampshire,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & Dual Eligibles,Administrative,33.5,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(43.4108, -71.5653)"
Alabama,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,58.1,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.799, -86.8073)"
Oregon,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid & CHIP & Dual Eligibles,Administrative,39.1,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.5672, -122.1269)"
Mississippi,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,48.8,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.7673, -89.6812)"
Kentucky,Behavioral Health Care,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2015,Medicaid & CHIP,Administrative,53.5,34,71.8,58.7,78.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(37.669, -84.6514)"
Maryland,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,66.9,46,45.5,37.8,56.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.0724, -76.7902)"
South Carolina,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,70.8,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(33.8191, -80.9066)"
Arizona,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid only,Administrative,57.9,37,82.0,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(33.7712, -111.3877)"
North Carolina,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,68.6,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.6411, -79.8431)"
Iowa,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,CHIP only,Administrative,27.5,32,24.1,21.3,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
Georgia,Primary Care Access and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth, and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Hybrid,69.4,47,66.9,57.3,75.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(32.9866, -83.6487)"
Oregon,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,Medicaid & CHIP,Administrative,89.0,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.5672, -122.1269)"
Illinois,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2015,Medicaid & CHIP,Administrative,54.3,37,82.0,75.5,85.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.3363, -89.0022)"
New Jersey,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid & CHIP,Administrative,23.5,33,25.0,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.314, -74.5089)"
Colorado,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid & Dual Eligibles,Administrative,65.7,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.0646, -105.3272)"
Pennsylvania,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid,Administrative,64.2,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.5773, -77.264)"
Kansas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2015,Medicaid & CHIP,Administrative,27.4,33,25.0,22.7,35.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(38.5111, -96.8005)"
Oklahoma,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Administrative,68.5,45,60.1,49.2,67.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.5376, -96.9247)"
Louisiana,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 6 Months: 18-64,2015,Medicaid & CHIP,Administrative,27.8,29,33.7,29.4,37.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.1801, -91.8749)"
Minnesota,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid & Dual Eligibles,Administrative,87.8,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(45.7326, -93.9196)"
New Mexico,Care of Acute and Chronic Conditions,Adult Core Set,Comprehensive Diabetes Care: Hemoglobin A1c Testing,HA1C-AD,Percentage with Diabetes (Type 1 or Type 2) Who Had a Hemoglobin A1c (HbA1c) Test: 18-64,2015,Medicaid,Administrative,63.1,37,81.9,77.6,85.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.8375, -106.2371)"
Texas,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,32.7,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(31.106, -97.6475)"
Arkansas,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2015,Medicaid & CHIP,Administrative,21.8,32,24.1,21.3,34.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.9513, -92.3809)"
Massachusetts,Behavioral Health Care,Adult Core Set,Initiation and Engagement of Alcohol and Other Drug Dependence Treatment,IET-AD,Percentage with Alcohol or Drug Dependence who Initiated Treatment: 18-64,2015,Medicaid,Administrative,44.8,26,37.1,32.2,42.4,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.2373, -71.5314)"
Michigan,Primary Care Access and Preventive Care,Adult Core Set,Adult Body Mass Index Assessment,ABA-AD,Percentage with a BMI Percentile Documented: 18-64,2015,Medicaid,Administrative,28.7,29,76.6,9.7,82.8,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(43.3504, -84.5603)"
South Carolina,Behavioral Health Care,Adult Core Set,Adherence to Antipsychotics for Individuals with Schizophrenia,SAA-AD,Percentage with Schizophrenia who Remained on Antipsychotic Medication: 19-64,2015,Medicaid,Administrative,62.4,25,62.4,58.1,68.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(33.8191, -80.9066)"
Connecticut,Primary Care Access and Preventive Care,Adult Core Set,Cervical Cancer Screening,CCS-AD,Percentage Screened for Cervical Cancer: 21-64,2015,Medicaid,Hybrid,66.1,36,56.0,45.2,62.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(41.5834, -72.7622)"
Delaware,Primary Care Access and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2015,Medicaid & CHIP,Administrative,91.0,44,91.5,87.9,93.5,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.3498, -75.5148)"
New York,Primary Care Access and Preventive Care,Child Core Set,Human Papillomavirus Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2015,Medicaid & CHIP,Hybrid,28.4,36,20.8,14.5,23.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.1497, -74.9384)"
Texas,Primary Care Access and Preventive Care,Child Core Set,Body Mass Index Assessment for Children and Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2015,Medicaid only,Administrative & Hybrid,46.7,33,53.0,21.0,68.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.106, -97.6475)"
New Jersey,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Hybrid,70.0,45,60.1,49.2,67.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(40.314, -74.5089)"
Texas,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 7 Days: 21-64,2015,Medicaid,Administrative,36.5,30,37.7,30.9,56.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.106, -97.6475)"
Texas,Behavioral Health Care,Child Core Set,Follow-Up Care for Children Prescribed ADHD Medication,ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2015,CHIP only,Administrative,56.8,37,59.0,44.4,64.2,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(31.106, -97.6475)"
Florida,Primary Care Access and Preventive Care,Child Core Set,Immunization Status for Adolescents,IMA-CH,Percentage Up-to-Date on Immunizations (Combination 1),2015,Medicaid & CHIP,Administrative & Hybrid,63.1,38,67.4,56.8,78.7,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(27.8333, -81.717)"
North Carolina,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid,Administrative,44.5,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(35.6411, -79.8431)"
Alabama,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Advised to Quit,2015,Medicaid & Dual Eligibles,NAM CAHPS,74.6,47,73.7,71.6,77.0,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(32.799, -86.8073)"
Montana,Care of Acute and Chronic Conditions,Adult Core Set,Annual Monitoring for Patients on Persistent Medications,MPM-AD,Percentage Who Received At Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: 18-64,2015,Medicaid & Dual Eligibles,Administrative,80.3,32,85.6,82.8,88.3,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(46.9048, -110.3261)"
Oregon,Primary Care Access and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2015,Medicaid & CHIP,Administrative,62.3,45,60.1,49.2,67.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(44.5672, -122.1269)"
Iowa,Behavioral Health Care,Adult Core Set,Antidepressant Medication Management,AMM-AD,Percentage Treated with Antidepressant Medication for 12 Weeks: 18-64,2015,Medicaid & Dual Eligibles,Administrative,37.9,29,48.6,44.1,51.9,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(42.0046, -93.214)"
Arkansas,Primary Care Access and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2015,Medicaid & CHIP,Administrative,38.7,46,45.5,37.8,56.0,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(34.9513, -92.3809)"
Delaware,Behavioral Health Care,Adult Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-AD,Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit within 30 Days: 21-64,2015,Medicaid & Dual Eligibles,Administrative,69.1,30,57.3,45.6,69.1,,Mathematica analysis of MACPro reports for the FFY 2015 reporting cycle.,"(39.3498, -75.5148)"
Oklahoma,Behavioral Health Care,Adult Core Set,Medical Assistance With Smoking and Tobacco Use Cessation,MSC-AD,Percentage of Tobacco Users Discussed Cessation Medications,2015,Medicaid & Dual Eligibles,NAM CAHPS,44.1,47,42.9,39.4,47.8,,"2014 – 2015 Nationwide Adult Medicaid Consumer Assessment of Healthcare Providers and Systems (NAM CAHPS) survey, conducted by the Center for Medicaid and CHIP Services (CMCS).","(35.5376, -96.9247)"
