data_id;iso;event_id_cnty;event_id_no_cnty;event_date;year;time_precision;event_type;sub_event_type;actor1;assoc_actor_1;inter1;actor2;assoc_actor_2;inter2;interaction;region;country;admin1;admin2;admin3;location;latitude;longitude;geo_precision;source;source_scale;notes;fatalities;timestamp;iso3
8767018;642;ROU1821;1821;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Labour Group (Romania);6;;;0;60;Europe;Romania;Prahova;Brazi;;Brazii de Sus;44.8532;26.0151;2;Agerpres;National;On 29 December 2021, OMV Petrom workers protested at the Petrobrazi refinery near Brazii de Sus, demanding the conclusion of a collective agreement for all of the company's employees. [size=no report];0;1641935012;ROM
8767021;642;ROU1825;1825;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Labour Group (Romania);6;;;0;60;Europe;Romania;Arges;Pitesti;;Pitesti;44.85;24.8667;1;Agerpres;National;On 29 December 2021, OMV Petrom workers protested in Pitesti, demanding the conclusion of a collective agreement for all of the company's employees. [size=no report];0;1641935012;ROM
8767152;616;POL3786;3786;29.12.2021;2021;1;Riots;Mob violence;Rioters (International);"Refugees/IDPs (International); Military Forces of Belarus (1994-)";5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Hajnowski;;Czeremcha;52.515;23.3509;2;Border Guard (Poland);National;On 29 December 2021, refugees attempted to cross the border from Belarus to Poland near Czeremcha, pelting stones at border guards and damaging the wire fence. They were supported by the military forces of Belarus, blinding Poles with lasers. Polish police and military forces clashed with them and prevented them from crossing. [size=no report];0;1641935012;POL
8767158;616;POL3787;3787;29.12.2021;2021;1;Riots;Mob violence;Rioters (International);Refugees/IDPs (International);5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Siemiatycki;;Mielnik;52.3307;23.0493;2;Border Guard (Poland);National;On 29 December 2021, about 10 refugees attempted to cross the border from Belarus to Poland near Mielnik, damaging the wire fence. Polish police and military forces clashed with them and prevented them from crossing. [size=about 10];0;1641935012;POL
8767265;100;BGR2213;2213;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);;6;;;0;60;Europe;Bulgaria;Sofia City;Sofia;;Sofia;42.6974;23.3212;1;Dnes.bg;National;On 29 December 2021, protesters gathered in Sofia to demand justice for a Malo Konare resident who hit and injured a dog and was released, after a video of the incident went viral. [size=no report];0;1641935013;BGR
8767548;100;BGR2212;2212;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);;6;;;0;60;Europe;Bulgaria;Pazardzhik;Rakitovo;;Rakitovo;41.9901;24.0873;1;Monitor.bg;National;On 29 December 2021, around 150 residents of Rakitovo protested against the suspension of the water supply in the city, claiming that they had to rely on local fountains for basic needs. [size=around 150];0;1641935014;BGR
8768137;616;POL3790;3790;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);Environmental Group (Poland);6;;;0;60;Europe;Poland;Mazowieckie;Warszawa;;Warsaw;52.2319;21.0068;1;TVP;National;On 29 December 2021, environmental activists gathered for a rally in Warsaw, protesting against continuous phasing-out of nuclear power plants in Germany, highlighting their contribution in mitigating the climate change. [size=no report];0;1641935017;POL
8768139;616;POL3788;3788;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);Environmental Group (Poland);6;;;0;60;Europe;Poland;Wielkopolskie;Poznan;;Poznan;52.4085;16.9335;1;TVP;National;On 29 December 2021, environmental activists gathered for a rally in Poznan, protesting against continuous phasing-out of nuclear power plants in Germany, highlighting their contribution in mitigating the climate change. [size=no report];0;1641935017;POL
8844008;616;POL3791;3791;29.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);Environmental Group (Poland);6;;;0;60;Europe;Poland;Dolnoslaskie;Wroclaw;;Wroclaw;51.109;17.0326;1;TuWroclaw;National;On 29 December 2021, environmental activists gathered for a rally in Wroclaw, protesting against continuous phasing-out of nuclear power plants in Germany, highlighting their contribution in mitigating the climate change. [size=no report];0;1645032565;POL
8767003;642;ROU1798;1798;28.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);"Health Workers (Romania); Labour Group (Romania)";6;;;0;60;Europe;Romania;Dambovita;Targoviste;;Targoviste;44.9333;25.45;1;Adevarul;National;On 28 December 2021, hospital employees, including unionized ones of the Sanitas union, protested outside the Dambovita county hospital in Targoviste, demanding a raise of wages and the payment of benefits for the entire personnel of the health sector. [size=no report];0;1641935011;ROM
8767009;642;ROU1820;1820;28.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);"Labour Group (Romania); Health Workers (Romania)";6;;;0;60;Europe;Romania;Bucharest;Municipality of Bucharest;;Bucharest;44.4333;26.1;1;Agerpres;National;On 28 December 2021, several dozen unionized health workers and technical staff from the sector protested outside the government building in Bucharest, demanding the raise of their salaries according to previous laws and collective agreements. [size=several dozen];0;1641935011;ROM
8767304;100;BGR2211;2211;28.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);;6;;;0;60;Europe;Bulgaria;Stara Zagora;Stara Zagora;;Stara Zagora;42.4328;25.6419;1;Fakti.bg;National;On 28 December 2021, fans of the Beroe football club in Stara Zagora protested against planned cuts in the funding of the club, which is mainly maintained through profits from the thermal power plant Maritsa Iztok 2. [size=no report];0;1641935013;BGR
8767141;616;POL3784;3784;27.12.2021;2021;1;Riots;Mob violence;Rioters (International);"Refugees/IDPs (International); Military Forces of Belarus (1994-)";5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Siemiatycki;;Mielnik;52.3307;23.0493;2;Border Guard (Poland);National;On 27 December 2021, about 24 refugees, mostly Iraqis, attempted to cross the border from Belarus to Poland near Mielnik, pelting stones at border guards and damaging the wire fence. They were supported by the Military forces of Belarus. Polish police and military forces clashed with them and prevented them from crossing. [size=about 24];0;1641935012;POL
8767263;100;BGR2210;2210;27.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);;6;;;0;60;Europe;Bulgaria;Pazardzhik;Pazardzhik;;Malo Konare;42.2;24.433;1;Dnes.bg;National;On 27 December 2021, residents of Malo Konare protested against the release of a man who they claim intentionally hit and injured a local dog. [size=no report];0;1641935013;BGR
8767360;616;POL3785;3785;27.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);KOD: Committee for the Defence of Democracy;6;;;0;60;Europe;Poland;Wielkopolskie;Poznan;;Poznan;52.4085;16.9335;1;Gazeta Wiadomosci;National;On 27 December 2021, activists affiliated with the KOD movement gathered for a rally in Poznan, protesting against the visit of the president to the city and criticizing his controversial policies. [size=no report];0;1641935014;POL
8767306;100;BGR2209;2209;26.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);;6;;;0;60;Europe;Bulgaria;Sofia City;Sofia;;Sofia;42.6974;23.3212;1;Fakti.bg;National;On 26 December 2021, fathers gathered in front of the Ministry of Justice in Sofia demanding that single and separated fathers get the same parental rights that mothers have in the country. [size=no report];0;1641935013;BGR
8768110;616;POL3783;3783;26.12.2021;2021;1;Riots;Mob violence;Rioters (International);Refugees/IDPs (International);5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Siemiatycki;;Mielnik;52.3307;23.0493;1;TUT.BY;Regional;On 26 December 2021, about 30 refugees attempted to cross the border from Belarus to Poland near Mielnik, pelting stones at border guards and damaging the wire fence. Polish police and military forces clashed with them and prevented them from crossing. [size=about 30];0;1641935017;POL
8767154;616;POL3782;3782;25.12.2021;2021;1;Riots;Mob violence;Rioters (International);Refugees/IDPs (International);5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Siemiatycki;;Mielnik;52.3307;23.0493;2;Border Guard (Poland);National;On 25 December 2021, about 28 refugees attempted to cross the border from Belarus to Poland near Mielnik, pelting stones at border guards, blinding them by lasers and damaging the wire fence. Polish police and military forces clashed with them and prevented them from crossing. [size=about 28];0;1641935012;POL
8767143;616;POL3780;3780;24.12.2021;2021;1;Riots;Mob violence;Rioters (International);Refugees/IDPs (International);5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Hajnowski;;Czeremcha;52.515;23.3509;2;Border Guard (Poland);National;On 24 December 2021, 10 refugees attempted to cross the border from Belarus to Poland near Czeremcha. Polish police and military forces clashed with them and prevented them from crossing. [size=10];0;1641935012;POL
8768027;100;BGR2208;2208;24.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);;6;;;0;60;Europe;Bulgaria;Stara Zagora;Stara Zagora;;Stara Zagora;42.4328;25.6419;1;Sega;National;On 24 December 2021, fans of the Beroe football club in Stara Zagora protested against the decision by the government to cut funding for the club by the Maritza Iztok 2 thermal power plant. [size=no report];0;1641935016;BGR
8768059;616;POL3779;3779;24.12.2021;2021;1;Protests;Peaceful protest;Protesters (Belarus);;6;;;0;60;Europe;Poland;Podlaskie;Bialystok;;Bialystok;53.1325;23.1592;1;Svaboda.org;Regional;On 24 December 2021, Belarusian activists gathered for a rally in Bialystok, protesting against ongoing political violence in Belarus. [size=no report];0;1641935016;POL
8844011;616;POL3781;3781;24.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Feminist Revolutionary Brigade; Women (Poland)";6;;;0;60;Europe;Poland;Kujawsko-Pomorskie;Torun;;Torun;53.01;18.6053;1;Feministyczna Brygada Rewolucyjna;New media;On 24 December 2021, activists gathered for a rally in Torun, including members of the Feminist Revolutionary Brigade, demanding higher solidarity with refugees stranded at the border with Belarus. [size=no report];0;1645032565;POL
8767216;616;POL3778;3778;23.12.2021;2021;1;Protests;Peaceful protest;Protesters (Belarus);;6;;;0;60;Europe;Poland;Mazowieckie;Warszawa;;Warsaw;52.2319;21.0068;1;Charter-97;Regional;On 23 December 2021, Belarusian activists gathered for a rally in Warsaw, protesting against ongoing political violence in Belarus. [size=no report];0;1641935013;POL
8767617;642;ROU1797;1797;23.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);"Police Forces of Romania (2021-); Police Forces of Romania (2021-) Prison Guards";6;;;0;60;Europe;Romania;Timis;Timisoara;;Timisoara;45.7494;21.2272;1;News.ro;National;On 23 December 2021, at least 100 police employees and prison guards protested outside the administrative palace in Timisoara, demanding a wage raise and the update of the military pensions. [size=at least 100];0;1641935014;ROM
8783591;642;ROU1819;1819;23.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);"Labour Group (Romania); Health Workers (Romania); Police Forces of Romania (2021-); Police Forces of Romania (2021-) Prison Guards; Military Forces of Romania (2021-)";6;;;0;60;Europe;Romania;Bucharest;Municipality of Bucharest;;Bucharest;44.4333;26.1;1;"News.ro; Agerpres; Adevarul";International;On 23 December 2021, hundreds of health workers, prison guards, police employees, as well as reserve soldiers and other government employees, protested in Bucharest, demanding the raise of their salaries according to older laws and collective agreements. [size=hundreds];0;1642167860;ROM
8790217;428;LVA140;140;23.12.2021;2021;2;Strategic developments;Arrests;Police Forces of Latvia (2019-);;1;Civilians (Latvia);;7;17;Europe;Latvia;Riga;;;Riga;56.9502;24.1054;3;Sputnik Latvia;National;Around 23 December 2021, the Police Forces of Latvia detained two civilians in Latvia on suspicion of working for Russian military intelligence. [coded to Riga with GP3, as the exact location is unknown];0;1642524193;LVA
8797174;616;POL3831;3831;23.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Women's Strike; Women (Poland)";6;;;0;60;Europe;Poland;Pomorskie;Sztumski;;Sztum;53.9195;19.0313;1;Ogolnopolski Strajk Kobiet;Other;On 23 December 2021, activists, including members of the Women's Strike movement, gathered for a rally in Sztum, demanding higher solidarity with refugees stranded at the border with Belarus and attempting to cross into Poland. [size=no report];0;1643135348;POL
9171718;616;POL3777;3777;23.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Extinction Rebellion; Environmental Group (Poland)";6;;;0;60;Europe;Poland;Opolskie;Opole;;Opole;50.6669;17.9214;1;Extinction Rebellion;Other;On 23 December 2021, environmental activists, including members of the Extinction Rebellion, gathered for a rally in Opole, protesting against continuous phasing-out of nuclear power plants in Germany, highlighting their contribution in mitigating the climate change. [size=no report];0;1651165024;POL
8767308;100;BGR2206;2206;22.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);Labour Group (Bulgaria);6;;;0;60;Europe;Bulgaria;Sofia City;Sofia;;Sofia;42.6974;23.3212;1;Fakti.bg;National;On 22 December 2021, irrigation system workers organized under the Podkrepa union protested in Sofia demanding the central irrigation company sign a collective agreement guaranteeing higher wages. [size=no report];0;1641935013;BGR
8767309;100;BGR2205;2205;22.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);Boec;6;;;0;60;Europe;Bulgaria;Sofia City;Sofia;;Sofia;42.6974;23.3212;1;Fakti.bg;National;On 22 December 2021, protesters gathered in front of the judicial chamber in Sofia demanding the resignation of Chief Prosecutor Ivan Geshev. The protest was organized by the Boec civil society organization. [size=no report];0;1641935013;BGR
8767534;100;BGR2207;2207;22.12.2021;2021;1;Protests;Peaceful protest;Protesters (Bulgaria);;6;;;0;60;Europe;Bulgaria;Sofia City;Sofia;;Sofia;42.6974;23.3212;1;Mediapool;National;On 22 December 2021, residents of the Lagera residential complex in Sofia protested against the construction of a building in their neighborhood which would lead to a playground and green space being torn down. [size=no report];0;1641935014;BGR
8767918;616;POL3776;3776;22.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"AgroUnia; Farmers (Poland)";6;;;0;60;Europe;Poland;Lubelskie;Lublin;;Lublin;51.2507;22.5707;1;Polsat News;National;On 22 December 2021, about 100 activists, including members of AgroUnia union of farmers, gathered for a rally in Lublin, protesting against a recent detention of their fellow, who was detained for 10 days on charges of violating legal obligations related to farming. [size=about 100];0;1641935016;POL
8768167;616;POL3775;3775;22.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"NSZZ: Independent and Self-Governing Trade Union Solidarity; Labour Group (Poland)";6;;;0;60;Europe;Poland;Slaskie;Katowice;;Katowice;50.2597;19.0217;1;Wirtualny Nowy Przemysl;National;On 22 December 2021, about 100 activists, mostly miners and representatives of labour unions including Solidarity, continued their occupational protest in a building of a large mining company in Katowice, demanding higher wages and other social benefits. [size=about 100];0;1641935017;POL
8768189;642;ROU1817;1817;22.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Teachers (Romania);6;;;0;60;Europe;Romania;Iasi;Iasi;;Iasi;47.1667;27.6;1;Ziarul de Iasi;Subnational;On 22 December 2021, teachers protested outside the Prefecture in Iasi, demanding a long delayed wage raise to be implemented. [size=no report];0;1641935017;ROM
8768190;642;ROU1818;1818;22.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);;6;;;0;60;Europe;Romania;Iasi;Iasi;;Iasi;47.1667;27.6;1;Ziarul de Iasi;Subnational;On 22 December 2021, several people protested outside the Tribunal in Iasi, demanding the release of an activist arrested for sending small quantities of cannabis to the police to prove how easy it is to buy such substances in Romania. [size=several];0;1641935017;ROM
8973361;440;LTU218;218;22.12.2021;2021;1;Protests;Peaceful protest;Protesters (Lithuania);;6;;;0;60;Europe;Lithuania;Vilniaus;Vilniaus;;Vilnius;54.6869;25.2826;1;Lrytas;National;On 22 December 2021, parents of children gathered in front of the presidential palace in Vilnius to demand that the Lithuanian president suspend the application of a new law, which will make coronavirus vaccination certificates mandatory for children above the age of 12 (the certificates were already mandatory for children above 16). A presidential advisor met with the protesters and promised them a meeting with the president. [size=no report];0;1648594141;LTU
8767146;616;POL3772;3772;21.12.2021;2021;1;Riots;Mob violence;Rioters (International);Refugees/IDPs (International);5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Hajnowski;;Bialowieza;52.6978;23.8565;2;Border Guard (Poland);National;On 21 December 2021, refugees attempted to cross the border from Belarus to Poland near Bialowieza, pelting stones at border guards and damaging the wire fence. Polish police and military forces clashed with them and prevented them from crossing. [size=no report];0;1641935012;POL
8767641;616;POL3773;3773;21.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);ORP: Citizens of Poland;6;;;0;60;Europe;Poland;Pomorskie;Gdynia;;Gdynia;54.5163;18.5394;1;Obywatele RP;Other;On 21 December 2021, activists including members of ORP gathered for a rally in Gdynia, criticizing pressure on judges and demanding genuine independence of courts in the country. [size=no report];0;1641935014;POL
8768001;616;POL3774;3774;21.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"NSZZ: Independent and Self-Governing Trade Union Solidarity; Labour Group (Poland)";6;;;0;60;Europe;Poland;Slaskie;Katowice;;Katowice;50.2597;19.0217;1;RMF24;National;On 21 December 2021, about 100 activists, mostly miners and representatives of labour unions including Solidarity, continued their occupational protest in a building of a large mining company in Katowice, demanding higher wages and other social benefits. [size=about 100];0;1641935016;POL
9484980;642;ROU1816;1816;21.12.2021;2021;1;Riots;Violent demonstration;Rioters (Romania);AUR: Alliance for the Union of Romanians;5;;;0;50;Europe;Romania;Bucharest;Municipality of Bucharest;;Bucharest;44.4333;26.1;1;"G4media; Mediafax; DPA; News.ro; Agerpres; Adevarul; AP; Digi24";National-Regional;On 21 December 2021, around 1200 demonstrators, mostly organized by AUR, rallied from the Constitution Square to the Parliament Palace in Bucharest against coronavirus vaccination and the coronavirus restrictions. The demonstrators entered the parliament's courtyard without resistance, which triggered an investigation of the gendarmerie's actions, and damaged two cars belonging to the US and Japanese embassies, parked outside the parliament. Gendarmerie arrested 2 demonstrators, including one holding a small knife. [size=around 1200];0;1663104690;ROM
8766965;616;POL3770;3770;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Teachers (Poland); Labour Group (Poland)";6;;;0;60;Europe;Poland;Zachodniopomorskie;Szczecin;;Szczecin;53.4325;14.5486;1;24kurier;National;On 20 December 2021, activists, mostly teachers and other employees of universities gathered for a rally in Szczecin, demanding higher wages and other social benefits. [size=no report];0;1641935011;POL
8767006;642;ROU1814;1814;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Teachers (Romania);6;;;0;60;Europe;Romania;Bucharest;Municipality of Bucharest;;Bucharest;44.4333;26.1;1;Adevarul;National;On 20 December 2021, unionized teachers protested outside the government building in Bucharest, demanding the raise of their salaries according to previous laws and collective agreements. [size=no report];0;1641935011;ROM
8767013;642;ROU1813;1813;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);"AUR: Alliance for the Union of Romanians; Government of Romania (2021-)";6;;;0;60;Europe;Romania;Bucharest;Municipality of Bucharest;;Bucharest;44.4333;26.1;1;Agerpres;National;On 20 December 2021, several AUR MPs protested outside the government building in Bucharest, demanding that coronavirus quarantining rules be dropped for Romanians who return home. [size=several];0;1641935011;ROM
8767147;616;POL3767;3767;20.12.2021;2021;1;Riots;Mob violence;Rioters (International);Refugees/IDPs (International);5;Military Forces of Poland (2015-);Police Forces of Poland (2015-);1;15;Europe;Poland;Podlaskie;Hajnowski;;Bialowieza;52.6978;23.8565;2;Border Guard (Poland);National;On 20 December 2021, about 10 refugees attempted to cross the border from Belarus to Poland near Bialowieza, pelting stones at border guards and damaging the wire fence. Polish police and military forces clashed with them and prevented them from crossing. [size=about 10];0;1641935012;POL
8767371;616;POL3768;3768;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"NSZZ: Independent and Self-Governing Trade Union Solidarity; Labour Group (Poland)";6;;;0;60;Europe;Poland;Slaskie;Katowice;;Katowice;50.2597;19.0217;1;Interia;National;On 20 December 2021, several dozen activists, mostly miners and representatives of labour unions including Solidarity, gathered near a building of a large mining company in Katowice, demanding higher wages and other social benefits. Later they decided to stay overnight to support their demands. [size=several dozen].;0;1641935014;POL
8767630;203;CZE481;481;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Czech Republic);;6;;;0;60;Europe;Czech Republic;Prague;Praha;;Prague;50.0875;14.4213;1;Novinky;National;On 20 December 2021, about 400 activists gathered for a rally in Prague near headquarters of the TV of public service, criticizing what they called coronavirus-related lies and propaganda broadcasted by the medium. [size=about 400];0;1641935014;CZE
8767912;703;SVK262;262;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Slovakia);Labour Group (Slovakia);6;;;0;60;Europe;Slovakia;Bratislavsky;Bratislava I;;Bratislava;48.1505;17.1085;1;Pluska;National;On 20 December 2021, activists, mostly restaurant-owners, gathered in Bratislava, protesting against coronavirus-related restrictions. [size=no report];0;1641935016;SVK
8767934;616;POL3769;3769;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Teachers (Poland); Labour Group (Poland)";6;;;0;60;Europe;Poland;Wielkopolskie;Poznan;;Poznan;52.4085;16.9335;1;Radio Poznan;National;On 20 December 2021, activists, mostly teachers and other employees of universities gathered for a rally in Poznan, demanding higher wages and other social benefits. [size=no report];0;1641935016;POL
8768109;642;ROU1815;1815;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Romania);Teachers (Romania);6;;;0;60;Europe;Romania;Sibiu;Sibiu;;Sibiu;45.8;24.15;1;Turnul Sfatului;Subnational;On 20 December 2021, around 30 unionized teachers protested in Sibiu, demanding more investment in the education sector and the raise of their salaries according to previous laws and collective agreements. [size=around 30];0;1641935017;ROM
8797266;616;POL3828;3828;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Labour Group (Poland); Teachers (Poland)";6;;;0;60;Europe;Poland;Mazowieckie;Warszawa;;Warsaw;52.2319;21.0068;1;Pracownicza Demokracja;Other;On 20 December 2021, activists, mostly teachers and other employees of universities gathered for a rally in Warsaw, demanding higher wages and other social benefits. [size=no report];0;1643135348;POL
8797267;616;POL3825;3825;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Labour Group (Poland); NSZZ: Independent and Self-Governing Trade Union Solidarity";6;;;0;60;Europe;Poland;Opolskie;Kedzierzynsko-Kozielski;;Kedzierzyn-Kozle;50.3439;18.2119;1;Pracownicza Demokracja;Other;On 20 December 2021, about 30 employees of a local factory Kedzierzyn-Kozle and labor representatives from the Solidarity union gathered for a rally, demanding higher wages and other social benefits. [size=about 30];0;1643135348;POL
8797268;616;POL3827;3827;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Labour Group (Poland); NSZZ: Independent and Self-Governing Trade Union Solidarity; Teachers (Poland)";6;;;0;60;Europe;Poland;Lodzkie;Lodz;;Lodz;51.7687;19.4561;1;Pracownicza Demokracja;Other;On 20 December 2021, about 100 activists, mostly teachers and other employees of universities including representatives of the Solidarity union gathered for a rally in Lodz, demanding higher wages and other social benefits. [size=about 100];0;1643135348;POL
8844016;616;POL3771;3771;20.12.2021;2021;1;Protests;Peaceful protest;Protesters (Poland);"Teachers (Poland); Labour Group (Poland)";6;;;0;60;Europe;Poland;Dolnoslaskie;Wroclaw;;Wroclaw;51.109;17.0326;1;Radio Wroclaw;National;On 20 December 2021, activists, mostly teachers and other employees of universities gathered for a rally in Wroclaw, demanding higher wages and other social benefits. [size=no report];0;1645032565;POL
