Agency Name,Reference Number,Program Name,State Purpose,Fund Name,Financing Source,Chapter/Section/Year,Description,Enacted Reappropriations 2015-16,Encumbrance as of 5/5/2015,Enacted Appropriations 2015-16
"Agriculture and Markets, Department of",60RI1303,State Fair,Preservation of Facilities,Miscellaeous Capital Projects Fund,Misc. Capital Projects,0054/01/13,Misc. State Fair Capital,2000000,0,0
"Agriculture and Markets, Department of",60RI1403,State Fair,Preservation of Facilities,Miscellaeous Capital Projects Fund,Misc. Capital Projects,0054/01/14,Misc. State Fair Capital,2000000,0,0
"Agriculture and Markets, Department of",60RI1503,State Fair,Preservation of Facilities,Miscellaeous Capital Projects Fund,Misc. Capital Projects,0000/00/15,Misc. State Fair Capital,0,0,2000000
"Alcoholism and Substance Abuse Services, Office of",53010607,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/06,108 Adolescent and Women/Children Beds,18348000,6419807,0
"Alcoholism and Substance Abuse Services, Office of",53010707,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/07,Long Island Residential Expansion,26146000,4125269,0
"Alcoholism and Substance Abuse Services, Office of",53020707,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/07,Residential Capacity Expansion-Veterans,13670000,5863880,0
"Alcoholism and Substance Abuse Services, Office of",53030503,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/05,Preservation,4282000,113585,0
"Alcoholism and Substance Abuse Services, Office of",53030589,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/05,Minor Rehab,134000,0,0
"Alcoholism and Substance Abuse Services, Office of",53030603,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/06,Pres Of Facilities,13057000,8696344,0
"Alcoholism and Substance Abuse Services, Office of",53030689,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/06,Minor Rehab,284000,14728,0
"Alcoholism and Substance Abuse Services, Office of",53030703,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/07,Pres Of Facilities,3042000,2052636,0
"Alcoholism and Substance Abuse Services, Office of",53030789,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/07,Minor Rehab,770000,743502,0
"Alcoholism and Substance Abuse Services, Office of",53030803,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/08,Pres of Facilities,9501000,8504340,0
"Alcoholism and Substance Abuse Services, Office of",53030889,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/08,Minor Rehab,1040000,320541,0
"Alcoholism and Substance Abuse Services, Office of",53030903,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/09,Pres of Facilities,25936000,20770310,0
"Alcoholism and Substance Abuse Services, Office of",53030989,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/09,Minor Rehab,2336000,640236,0
"Alcoholism and Substance Abuse Services, Office of",53031103,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/11,Preservation of Facilities,40273000,5695000,0
"Alcoholism and Substance Abuse Services, Office of",53031189,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Minor Rehab,4810000,694280,0
"Alcoholism and Substance Abuse Services, Office of",53031203,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/12,Pres of Facilities,42273000,0,0
"Alcoholism and Substance Abuse Services, Office of",53031289,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Minor rehab,4810000,0,0
"Alcoholism and Substance Abuse Services, Office of",53031303,Community Alcoholism and Substance Abuse Facilities,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/13,Pres of Facilities Beds,34773000,0,0
"Alcoholism and Substance Abuse Services, Office of",53031389,Community Alcoholism and Substance Abuse Facilities,Maintenance Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,Minor Rehab 002,3810000,0,0
"Alcoholism and Substance Abuse Services, Office of",53061130,Design and Construction Supervision,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/11,Preparation of Plans,37000,0,0
"Alcoholism and Substance Abuse Services, Office of",53061230,Design and Construction Supervision,Environmental Protection or Improvements,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/12,Prep of Plans,500000,0,0
"Alcoholism and Substance Abuse Services, Office of",53061330,Design and Construction Supervision,Maintenance Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,Prep of Plans,30000,0,0
"Alcoholism and Substance Abuse Services, Office of",53061430,Design and Construction Supervision,New Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,D and C Supervision,2448000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A20603,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/06,Pres Of Facilities,2155000,780480,0
"Alcoholism and Substance Abuse Services, Office of",53A20703,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/07,Pres of Facilities,236000,47733,0
"Alcoholism and Substance Abuse Services, Office of",53A20803,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/08,Institutional Services,1182000,582239,0
"Education Department, State",11010703,Administration,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0053/01/07,Minor rehabiliation projects,102000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A20903,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/09,Pres of Facilities,1323000,2758,0
"Alcoholism and Substance Abuse Services, Office of",53A21003,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/10,Preservation of Facilities,2953000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A21103,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0050/01/11,Preservation of Facilities,6952000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A21203,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/12,Pres of Facilities,3000000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A21303,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/13,Pres of Facilities,18000000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A21503,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0000/00/15,Pres of Facilities ATCs,0,0,3000000
"Alcoholism and Substance Abuse Services, Office of",53A60930,Design and Construction Supervision,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/09,Prep of Plans,46000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A61230,Design and Construction Supervision,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Prep of Plans,1443000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A61330,Design and Construction Supervision,Maintenance Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/13,Prep of Plans,500000,0,0
"Alcoholism and Substance Abuse Services, Office of",53A61530,Design and Construction Supervision,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0000/00/15,DASNY chargeback,0,0,500000
"Alcoholism and Substance Abuse Services, Office of",53AA0307,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/03,Community Bed Development,565000,0,0
"Alcoholism and Substance Abuse Services, Office of",53AA0407,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/04,Community Bed Development,8083000,0,0
"Alcoholism and Substance Abuse Services, Office of",53AA0507,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/05,Community Bed Development,409000,349192,0
"Alcoholism and Substance Abuse Services, Office of",53AA0607,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/06,New Facilities,9000,0,0
"Alcoholism and Substance Abuse Services, Office of",53AA0707,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/07,New Facilities,2190000,819979,0
"Alcoholism and Substance Abuse Services, Office of",53AA0807,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/08,New Facilities,27065000,13839500,0
"Alcoholism and Substance Abuse Services, Office of",53AA0907,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/09,New Facilities ,22762000,15461595,0
"Alcoholism and Substance Abuse Services, Office of",53AA1007,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/10,New Facilities,40649000,17994000,0
"Alcoholism and Substance Abuse Services, Office of",53AA1107,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/11,New Facilities,39270000,29316000,0
"Alcoholism and Substance Abuse Services, Office of",53AA1207,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/12,New Facilities,42273000,0,0
"Alcoholism and Substance Abuse Services, Office of",53AA1307,Community Alcoholism and Substance Abuse Facilities,New Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/13,New Facilities,34773000,0,0
"Alcoholism and Substance Abuse Services, Office of",53HD0489,Institutional Services Program,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/04,Minor Rehab ,328000,0,0
"Alcoholism and Substance Abuse Services, Office of",53HD0689,Institutional Services Program,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/06,Minor Rehabilitation,151000,0,0
"Alcoholism and Substance Abuse Services, Office of",53HD0789,Institutional Services Program,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/07,Minor Rehab,290000,0,0
"Alcoholism and Substance Abuse Services, Office of",53HD0889,Institutional Services Program,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/08,Minor Rehab,134000,0,0
"Alcoholism and Substance Abuse Services, Office of",53HD0989,Institutional Services Program,Health and Safety,Capital Projects Fund,Capital Projects Fund,0054/01/09,Minor Rehab,312000,9213,0
"Alcoholism and Substance Abuse Services, Office of",53HD1089,Institutional Services Program,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/10,Minor Rehab,438000,0,0
"Alcoholism and Substance Abuse Services, Office of",53HD1189,Institutional Services Program,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/11,Minor Rehab,772000,0,0
"Alcoholism and Substance Abuse Services, Office of",53HD1289,Institutional Services Program,Maintenance Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/12,Minor Rehab,486000,85432,0
"Alcoholism and Substance Abuse Services, Office of",53HD1389,Institutional Services Program,Maintenance Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/13,Minor Rehah ATCs,1000000,61990,0
"Alcoholism and Substance Abuse Services, Office of",53HD1489,Institutional Services Program,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0054/01/14,Minor Rehab,1000000,0,0
"Alcoholism and Substance Abuse Services, Office of",53HD1589,Institutional Services Program,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Minor Rehab ATCs,0,0,1000000
"Alcoholism and Substance Abuse Services, Office of",53NB15NB,Non-Bondable,Maintenance Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Non-Bondable Projects,0,0,1000000
"Alcoholism and Substance Abuse Services, Office of",53PP1530,Design and Construction Supervision,Preservation of Facilities,Capital Projects Fund,Capital Projects Fund,0000/00/15,Design and Construction,0,0,4000000
"Alcoholism and Substance Abuse Services, Office of",53PR0103,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/01,Preservation,1919000,0,0
"Alcoholism and Substance Abuse Services, Office of",53PR0303,Institutional Services Program,Preservation of Facilities,Mental Hygiene Facilities Capital Improvement,MH Capital Improvements - Authority Bonds,0054/01/03,Preservation,673000,0,0
"Children and Family Services, Office of",25010101,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/01,Health And Safety,58000,0,0
"Children and Family Services, Office of",25010201,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/02,Health And Safety,100000,0,0
"Children and Family Services, Office of",25010301,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/03,Health And Safety,595000,0,0
"Children and Family Services, Office of",25010401,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/04,For Projects Related To Health & Safety,928000,0,0
"Children and Family Services, Office of",25010501,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/05,Health And Safety,1361000,0,0
"Children and Family Services, Office of",25010601,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/06,Youth Facility Health And Safety ,1274000,20745,0
"Children and Family Services, Office of",25010701,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/07,Health and Safety,3652000,0,0
"Children and Family Services, Office of",25010801,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/08,Health Safety,5000000,0,0
"Children and Family Services, Office of",25010901,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/09,Health and Safety,5000000,0,0
"Children and Family Services, Office of",25011001,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/10,Health & Safety,6000000,0,0
"Children and Family Services, Office of",25011101,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/11,Health and Safety,4677000,1024773,0
"Children and Family Services, Office of",25011201,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/12,Health & Safety,1869000,380841,0
"Children and Family Services, Office of",25011301,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/13,Health & Safety,5269000,1572072,0
"Children and Family Services, Office of",25011401,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/14,Health and Safety,6000000,0,0
"Children and Family Services, Office of",25011501,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0000/00/15,Health & Safety,0,0,6000000
"Children and Family Services, Office of",25030203,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/02,Preservation Of Facilities,313000,0,0
"Children and Family Services, Office of",25030303,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/03,Preservation Of Facilities,648000,1591,0
"Children and Family Services, Office of",25030403,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/04,For Preservation Of Facilities,384000,0,0
"Children and Family Services, Office of",25030603,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/06,Preservation Of Facilities,1939000,1398830,0
"Children and Family Services, Office of",25030703,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/07,Preservation of Facilities,1667000,0,0
"Children and Family Services, Office of",25030803,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/08,Preservation of Facilities,1238000,0,0
"Children and Family Services, Office of",25030903,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/09,Preservation of Facilities,5035000,0,0
"Children and Family Services, Office of",25031003,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/10,Preservation of Facilities,7000000,0,0
"Children and Family Services, Office of",25031103,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/11,Preservation of Facilities,5658000,0,0
"Children and Family Services, Office of",25031203,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/12,Preservation of Facilities,4093000,2473745,0
"Children and Family Services, Office of",25031303,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/13,Preservation of Facilities,5428000,555899,0
"Children and Family Services, Office of",25031403,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/14,Preservation of Facilities,7000000,0,0
"Children and Family Services, Office of",25031503,Maintenance and Improvement of Facilities,Preservation of Facilities,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0000/00/15,Preservation of Facilities,0,0,7000000
"Children and Family Services, Office of",25080308,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/03,Program Improvement Or Program Change,973000,550400,0
"Children and Family Services, Office of",25080708,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/07,Program Improvement,516000,430000,0
"Children and Family Services, Office of",25080908,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/09,Program Improvement,13000000,0,0
"Children and Family Services, Office of",25081008,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/10,Program & Security Imprv or Chng,10000000,0,0
"Children and Family Services, Office of",25081108,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/11,Program Improvement,9483000,4744,0
"Children and Family Services, Office of",25081208,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/12,Program Improvement,1408000,871219,0
"Children and Family Services, Office of",25081308,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/13,Program Improvement,7969000,2328100,0
"Children and Family Services, Office of",25081408,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/14,Program Improvment ,10000000,0,0
"Children and Family Services, Office of",25081508,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0000/00/15,Program & Security Imprv or Chng,0,0,10000000
"Children and Family Services, Office of",25A10201,Maintenance and Improvement of Facilities,Health and Safety,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/02,Health And Safety,48000,0,0
"Children and Family Services, Office of",25A80508,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/05,Program Improvement or Program Change,101000,0,0
"Children and Family Services, Office of",25A80608,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/06,Program & Security Imprv or Change,680000,259965,0
"Children and Family Services, Office of",25A80808,Program Improvement or Program Change,Program Improvement/Change,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/08,Program Improvement,9336000,662294,0
"Children and Family Services, Office of",25EN0106,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/01,YF Environmental Projects,204000,0,0
"Children and Family Services, Office of",25EN0306,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/03,Environmental Improvement,1546000,0,0
"Children and Family Services, Office of",25EN0406,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/04,Environmental Improvement,2032000,0,0
"Children and Family Services, Office of",25EN0506,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/05,Environmental Improvement,2147000,0,0
"Children and Family Services, Office of",25EN0606,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/06,Environ Prot & Impr,703000,12763,0
"Children and Family Services, Office of",25EN0706,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/07,Environ Prot & Impr,4000000,0,0
"Children and Family Services, Office of",25EN0806,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/08,Environ Prot & Impr,4000000,0,0
"Children and Family Services, Office of",25EN0906,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/09,Environmental Improvement,4000000,0,0
"Children and Family Services, Office of",25EN1006,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0053/01/10,Environ Prot & Impr,5000000,0,0
"Children and Family Services, Office of",25EN1106,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/11,Environ Prot & Impr,5000000,0,0
"Children and Family Services, Office of",25EN1206,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/12,Environ Prot & Impr,3421000,525408,0
"Children and Family Services, Office of",25EN1306,Maintenance and Improvement of Facilities,Environmental Protection or Improvements,Division for Youth Facilities Improvement Fund,Youth Facilities Improvement Fund,0054/01/13,Environ Prot & Impr,4448000,892346,0
