"","year","title","bechdel_rating","id","titleid"
"85",1898,"Astronomer&#39;s Dream; or, The Man in the Moon, The",5410,0,"tt0000211"
"86",1898,"Temptation of St. Anthony, The",5411,0,"tt0224240"
"87",1899,"A Turn of the Century Illusionist",4994,0,"tt0000246"
"88",1899,"Cinderella",5914,3,"tt0000230"
"89",1900,"Sherlock Holmes Baffled",1594,0,"tt0291476"
"90",1900,"Enchanted Drawing, The",4271,0,"tt0000300"
"91",1900,"Grandma&#39;s Reading Glass",4343,0,"tt0000304"
"92",1900,"As Seen Through A Telescope (a.k.a The Professor and His Field Glass)",4344,0,"tt0000272"
"93",1900,"Explosion of a Motor Car (a.k.a The Dlights of Automobiling)",4345,0,"tt0257654"
"94",1900,"Hamlet ( Le Duel d&#39;Hamlet)",4346,0,"tt0000306"
"95",1900,"One-Man Band, The",4993,0,"tt0135453"
"96",1900,"Grandma Threading Her Needle",5069,0,"tt0377995"
"97",1900,"Searching Ruins on Broadway, Galveston, for Dead Bodies",5072,0,"tt0230746"
"98",1900,"Let Me Dream Again",5438,0,"tt0000313"
"99",1900,"Doctor and the Monkey, The",5446,0,"tt0227438"
"100",1901,"L&#39;homme a la tete en caoutchouc",4995,0,"tt0000359"
"101",1901,"Reve et realite",5437,0,"tt0258104"
"102",1901,"Bluebeard",5500,0,"tt0131934"
"103",1902,"Le voyage dans la lune",1252,0,"tt0000417"
"104",1902,"Gulliver&#39;s Travels",5431,0,"tt0229024"
"105",1902,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",5432,0,"tt0367177"
"106",1902,"Mephistopheles&#39; School of Magic",5443,0,"tt0000413"
"107",1903,"Great Train Robbery, The",1319,0,"tt0000439"
"108",1903,"Infernal Boiling Pot, The",5002,0,"tt0135180"
"109",1903,"Music Lover, The",5063,0,"tt0000455"
"110",1903,"Monster, The",5064,0,"tt0223755"
"111",1903,"Enchanted Well, The",5683,0,"tt0189498"
"112",1904,"Cook in Trouble, The",5224,0,"tt0215664"
"113",1904,"Living Playing Cards, The",5404,0,"tt0135179"
"114",1904,"Untamable Whiskers, The",5601,0,"tt0135631"
"115",1904,"Le voyage a travers l&#39;impossible",6135,0,"tt0000499"
"116",1905,"Scheming Gambler&#39;s Paradise, The",5003,0,"tt0135690"
"117",1905,"Black Imp, The",5602,0,"tt0215575"
"118",1906,"Story of the Kelly Gang, The",1349,1,"tt0000574"
"119",1906,"Mysterious Retort, The",5024,0,"tt0216016"
"120",1906,"Humorous Phases of Funny Faces",5435,0,"tt0000554"
"121",1906,"Hilarious Posters, The",5603,0,"tt0135122"
"122",1906,"400 Tricks of the Devil, The",5684,0,"tt0000567"
"123",1906,"A Funny Shave",6206,0,"tt0449172"
"124",1906,"Consequence of Feminism, The",7215,0,"tt1260944"
"125",1907,"Eclipse: Courtship of the Sun and Moon, The",5223,0,"tt0215737"
"126",1907,"Good Glue Sticks",5615,0,"tt0215817"
"127",1908,"Unusual Cooking",6231,0,"tt1802750"
"128",1909,"Princess Nicotine; or, The Smoke Fairy",4409,2,"tt0001009"
"129",1909,"Devilish Tenant, The",5635,0,"tt0127948"
"130",1909,"Le barometre de la fidelite",6211,1,"tt0277596"
"131",1910,"Tilly the Tomboy Visits the Poor",1464,3,"tt0232821"
"132",1910,"Mobilier fidele",4983,0,"tt0486978"
"133",1910,"A Trip to Mars",5685,0,"tt1515725"
"134",1912,"Cleopatra",2003,2,"tt0002101"
"135",1912,"Invaders, The",2005,0,"tt0002281"
"136",1912,"Max and the Donkey",5357,0,"tt0277865"
"137",1913,"Voyage of the Bourrichon Family, The",5364,0,"tt0003512"
"138",1913,"Suspense",5915,0,"tt0003424"
"139",1914,"A Florida Enchantment",4457,2,"tt0003973"
"140",1915,"Birth of a Nation, The",1258,2,"tt0004972"
"141",1916,"Gretchen the Greenhorn",2008,3,"tt0006745"
"142",1916,"Lady Windermere&#39;s Fan",2014,3,"tt0279914"
"143",1916,"Vagabond, The",5368,0,"tt0007507"
"144",1916,"Intolerance: Love&#39;s Struggle Throughout the Ages",5944,0,"tt0006864"
"145",1916,"Snow White",7004,3,"tt0007361"
"146",1917,"A Tale of Two Cities",1981,3,"tt0008652"
"147",1917,"Rebecca of Sunnybrook Farm",1993,3,"tt0008499"
"148",1917,"Poor Little Rich Girl, The",1994,3,"tt0008443"
"149",1917,"A Romance of the Redwoods",2015,0,"tt0008519"
"150",1917,"Raffles, the Amateur Cracksman",2019,2,"tt0008489"
"151",1918,"Tarzan of the Apes",1996,3,"tt0009682"
"152",1918,"Stella Maris",2007,3,"tt0009652"
"153",1918,"Are Crooks Dishonest?",5441,0,"tt0008844"
"154",1918,"Ich mochte kein Mann sein",7108,3,"tt0010281"
"155",1919,"When the Clouds Roll by",2018,3,"tt0010879"
"156",1919,"Broken Blossoms or The Yellow Man and the Girl",2588,0,"tt0009968"
"157",1920,"Cabinet of Dr. Caligari, The",1306,0,"tt0010323"
"158",1920,"Pollyanna",1991,3,"tt0011588"
"159",1920,"Within Our Gates",5948,3,"tt0011870"
"160",1921,"Orphans of the Storm",1263,3,"tt0012532"
"161",1921,"Kid, The",3945,0,"tt0012349"
"162",1921,"Blot, The",4204,3,"tt0011979"
"163",1921,"K&ouml;rkarlen (The Phantom Carriage)",5898,2,"tt0012364"
"164",1922,"Nosferatu, eine Symphonie des Grauens",1307,2,"tt0013442"
"165",1922,"Phantom, The",1631,2,"tt0013496"
"166",1922,"Nathan der Weise",1778,2,"tt0013428"
"167",1922,"Man from Beyond, The",2001,1,"tt0013367"
"168",1922,"H&auml;xan: Witchcraft Through the Ages",3800,3,"tt0013257"
"169",1922,"Paleface, The",5361,0,"tt0012543"
"170",1922,"Nanook of the North",5901,1,"tt0013427"
"171",1922,"Foolish Wives",5958,3,"tt0013140"
"172",1922,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",5967,3,"tt0013086"
"173",1923,"Safety Last!",1961,0,"tt0014429"
"174",1923,"Why Worry?",1967,0,"tt0014611"
"175",1923,"Silent Command, The",1998,2,"tt0014469"
"176",1923,"La souriante Madame Beudet",5888,3,"tt0013626"
"177",1923,"Our Hospitality",5949,0,"tt0014341"
"178",1923,"A Woman of Paris",8947,2,"tt0014624"
"179",1924,"Die Nibelungen",1337,2,"tt0015175"
"180",1924,"Kriemhild&#39;s Revenge",1338,2,"tt0015174"
"181",1924,"Thief of Bagdad, The",1264,0,"tt0015400"
"182",1924,"Wild Oranges",1960,0,"tt0015498"
"183",1924,"Navigator, The",2009,0,"tt0015163"
"184",1924,"Sherlock Jr.",2011,0,"tt0015324"
"185",1924,"Girl Shy",2016,0,"tt0014945"
"186",1924,"Manhandled",2020,3,"tt0015116"
"187",1924,"Great White Silence, The",2413,0,"tt1764657"
"188",1924,"Help!",6209,0,"tt0013845"
"189",1924,"Greed",8458,3,"tt0015881"
"190",1925,"Phantom of the Opera, The",1305,2,"tt0016220"
"191",1925,"Battleship Potemkin",1308,0,"tt0015648"
"192",1925,"Gold Rush, The",1309,0,"tt0015864"
"193",1925,"Go West",1978,0,"tt0015863"
"194",1925,"Freshman, The",2012,0,"tt0015841"
"195",1925,"Seven Chances",3077,0,"tt0016332"
"196",1925,"Lost World, The",5514,2,"tt0016039"
"197",1925,"Big Parade, The",5962,2,"tt0015624"
"198",1925,"Stachka",5991,0,"tt0015361"
"199",1926,"Temptress, The",1334,1,"tt0017449"
"200",1926,"Flesh and the Devil",1260,1,"tt0016884"
"201",1926,"General, The",1310,0,"tt0017925"
"202",1926,"For Heaven&#39;s Sake",1966,0,"tt0016895"
"203",1926,"So&#39;s Your Old Man",3217,3,"tt0017410"
"204",1926,"Die Abenteuer des Prinzen Achmed",5974,1,"tt0015532"
"205",1927,"It",1227,3,"tt0018033"
"206",1927,"Metropolis",1267,1,"tt0017136"
"207",1927,"Abel Gance&#39;s Napoleon",1312,2,"tt0018192"
"208",1927,"Unknown, The",1311,0,"tt0018528"
"209",1927,"Sunrise: A Song of Two Humans",1632,2,"tt0018455"
"210",1927,"Kid Brother, The",1964,0,"tt0018051"
"211",1927,"Nevada",1982,0,"tt0018199"
"212",1927,"My Best Girl",2010,3,"tt0018183"
"213",1927,"Wings",3118,1,"tt0018578"
"214",1927,"Jazz Singer, The",5975,1,"tt0018037"
"215",1927,"Downhill [When Boys Leave Home]",7324,1,"tt0017825"
"216",1928,"Passion of Joan of Arc, The",1314,0,"tt0019254"
"217",1928,"Speedy",1963,0,"tt0019412"
"218",1928,"Circus, The",1968,0,"tt0018773"
"219",1928,"Cameraman, The",1970,0,"tt0018742"
"220",1928,"Steamboat Bill, Jr.",1971,0,"tt0019421"
"221",1928,"Racket, The",1972,0,"tt0019304"
"222",1928,"Beggars of Life",1977,0,"tt0018684"
"223",1928,"Power of the Press, The",1979,1,"tt0019290"
"224",1928,"A Girl in Every Port",1980,0,"tt0018937"
"225",1928,"Patsy, The",2013,3,"tt0019258"
"226",1928,"While the City Sleeps",2017,2,"tt0019571"
"227",1928,"Man Who Laughs, The",2021,2,"tt0019130"
"228",1928,"Crowd, The",5912,1,"tt0018806"
"229",1928,"Docks of New York, The",5984,2,"tt0018839"
"230",1928,"Our Dancing Daughters",9314,2,"tt0019237"
"231",1929,"Un chien andalou",1313,0,"tt0020530"
"232",1929,"Cocoanuts, The",1953,2,"tt0019777"
"233",1929,"Welcome Danger",1962,0,"tt0020572"
"234",1929,"Pandora&#39;s Box (Die B&uuml;chse der Pandora)",2324,3,"tt0018737"
"235",1929,"Man with a Movie Camera",3897,0,"tt0019760"
"236",1929,"Blackmail",5979,2,"tt0019702"
"237",1929,"Throw of the Dice",6046,0,"tt0020286"
"238",1929,"Juno and the Paycock [The Shame of Mary Boyle]",7287,3,"tt0021015"
"239",1929,"Broadway Melody",8464,3,"tt0019729"
"240",1930,"Blue Angel, The",1315,1,"tt0020697"
"241",1930,"All Quiet on the Western Front",1316,0,"tt0020629"
"242",1930,"Anna Christie",1326,3,"tt0020641"
"243",1930,"Ladies of Leisure",3713,3,"tt0021040"
"244",1930,"L&#39;Age d&#39;Or",3871,0,"tt0021577"
"245",1930,"Morocco",3865,1,"tt0021156"
"246",1930,"Min and Bill",3927,3,"tt0021148"
"247",1930,"Be Yourself",4253,2,"tt0020670"
"248",1930,"Bat Whispers, The",6782,3,"tt0020668"
"249",1930,"Murder!",7291,3,"tt0021165"
"250",1930,"Animal Crackers",8463,3,"tt0020640"
"251",1931,"M",610,3,"tt0022100"
"252",1931,"M&auml;dchen in Uniform",628,3,"tt0022183"
"253",1931,"Night Nurse",636,3,"tt0022208"
"254",1931,"Frankenstein",1317,1,"tt0021884"
"255",1931,"Anna Christie",1327,3,"tt0020642"
"256",1931,"Mata Hari",1333,3,"tt0023196"
"257",1931,"Tabu: A Story of the South Seas",1633,0,"tt0022458"
"258",1931,"Indiscreet",1828,3,"tt0022000"
"259",1931,"Last Flight, The",1956,0,"tt0022054"
"260",1931,"Pardon Us",1974,0,"tt0022251"
"261",1931,"Dracula",1985,2,"tt0021814"
"262",1931,"Monkey Business",2384,1,"tt0022158"
"263",1931,"City Lights",2705,3,"tt0021749"
"264",1931,"Smiling Lieutenant, The",4243,2,"tt0022074"
"265",1931,"Cheat, The",5741,3,"tt0021735"
"266",1931,"Public Enemy, The",5934,3,"tt0022286"
"267",1931,"La Chienne",6030,3,"tt0021739"
"268",1931,"A Nous la Liberte",6031,1,"tt0022599"
"269",1931,"Little Caesar",6043,1,"tt0021079"
"270",1931,"Skin Game, The",7294,3,"tt0022395"
"271",1931,"Rich and Strange [East of Shanghai]",7296,2,"tt0023395"
"272",1931,"Dracula",8213,3,"tt0021815"
"273",1931,"Cimarron",8467,3,"tt0021746"
"274",1931,"Hyppolit a lakaj",8557,1,"tt0021985"
"275",1931,"Skippy",9095,3,"tt0022397"
"276",1931,"Champ, The",9110,1,"tt0021730"
"277",1932,"I Am a Fugitive from a Chain Gang",1318,1,"tt0023042"
"278",1932,"Grand Hotel",1328,3,"tt0022958"
"279",1932,"Age of Consent, The",1983,2,"tt0022614"
"280",1932,"Horse Feathers",2383,1,"tt0023027"
"281",1932,"White Zombie",2550,0,"tt0023694"
"282",1932,"Boudu Saved from Drowning",2767,1,"tt0022718"
"283",1932,"I Was Born, But...",3530,1,"tt0023634"
"284",1932,"Most Dangerous Game, The",3658,0,"tt0023238"
"285",1932,"Freaks",3659,2,"tt0022913"
"286",1932,"Island of Lost Souls",3844,1,"tt0024188"
"287",1932,"Old Dark House, The",4775,3,"tt0023293"
"288",1932,"Merrily We Go to Hell",5742,3,"tt0023213"
"289",1932,"Girl from Calgary, The",5783,2,"tt0022940"
"290",1932,"Vampyr",5910,3,"tt0023649"
"291",1932,"Shanghai Express",5929,3,"tt0023458"
"292",1932,"Three on a Match",6051,3,"tt0023590"
"293",1932,"Love Me Tonight",6052,2,"tt0023158"
"294",1932,"Scarface",6063,1,"tt0023427"
"295",1932,"Red-Headed Woman",6092,3,"tt0023385"
"296",1932,"Death Kiss, The",6176,1,"tt0023935"
"297",1932,"Thirteen Women",6852,3,"tt0023582"
"298",1932,"Blue Light (Das Blaue Licht), The",6990,1,"tt0022694"
"299",1932,"Number 17",7301,0,"tt0023285"
"300",1933,"Footlight Parade",802,3,"tt0024028"
"301",1933,"Queen Christina",1330,3,"tt0024481"
"302",1933,"Private Life of Henry VIII., The",1248,1,"tt0024473"
"303",1933,"King Kong",2229,0,"tt0024216"
"304",1933,"Little Women",2231,3,"tt0024264"
"305",1933,"Alice in Wonderland",3188,3,"tt0023753"
"306",1933,"Vampire Bat, The",3210,3,"tt0024727"
"307",1933,"42nd Street",4335,3,"tt0024034"
"308",1933,"Day of Reckoning",5029,3,"tt0023932"
"309",1933,"Duck Soup",5185,1,"tt0023969"
"310",1933,"Tomorrow at Seven",5752,3,"tt0024679"
"311",1933,"Gold Diggers of 1933",5916,3,"tt0024069"
"312",1933,"Female",6056,3,"tt0024008"
"313",1933,"A Study in Scarlet",6193,3,"tt0024625"
"314",1933,"Peanut Vendor, The",6205,0,"tt0024432"
"315",1933,"Invisible Man, The",7450,1,"tt0024184"
"316",1933,"Baby Face",7528,3,"tt0023775"
"317",1933,"Design for Living",8346,1,"tt0023940"
"318",1933,"Cavalcade",8477,3,"tt0023876"
"319",1933,"Kennel Murder Case, The",10492,1,"tt0024210"
"320",1934,"It Happened One Night",621,3,"tt0025316"
"321",1934,"Cat&#39;s-Paw, The",1324,1,"tt0024961"
"322",1934,"Scarlet Empress, The",1325,3,"tt0025746"
"323",1934,"Painted Veil, The",1329,1,"tt0025617"
"324",1934,"Count of Monte Cristo, The",1246,1,"tt0025004"
"325",1934,"Cleopatra",1270,1,"tt0024991"
"326",1934,"Of Human Bondage",1379,1,"tt0025586"
"327",1934,"L&#39;atalante",1795,0,"tt0024844"
"328",1934,"Lost Patrol, The",1969,0,"tt0025423"
"329",1934,"Spitfire",4443,3,"tt0025822"
"330",1934,"Maniac",4702,3,"tt0025465"
"331",1934,"Anne of Green Gables",5319,3,"tt0024831"
"332",1934,"Lost in the Stratosphere",5523,2,"tt0025424"
"333",1934,"Search for Beauty",5821,3,"tt0025755"
"334",1934,"Evelyn Prentice",6772,3,"tt0025091"
"335",1934,"Man Who Knew Too Much, The",7304,3,"tt0025452"
"336",1934,"Imitation of Life",7999,3,"tt0025301"
"337",1934,"Mystery Liner",8653,0,"tt0025543"
"338",1935,"Top Hat",595,2,"tt0027125"
"339",1935,"39 Steps, The",1242,3,"tt0026029"
"340",1935,"Anna Karenina",1261,2,"tt0026071"
"341",1935,"Mutiny on the Bounty",1361,1,"tt0026752"
"342",1935,"Naughty Marietta",1685,3,"tt0026768"
"343",1935,"Roberta",2362,3,"tt0026942"
"344",1935,"Magnificent Obsession",2756,3,"tt0026667"
"345",1935,"A Night At The Opera",3881,1,"tt0026778"
"346",1935,"Bride of Frankenstein, The",3891,3,"tt0026138"
"347",1935,"Lady in Scarlet, The",5750,2,"tt0026599"
"348",1935,"Riverside Murder, The",5913,2,"tt0026939"
"349",1935,"Mad Love",7998,2,"tt0026663"
"350",1936,"Swing Time",596,1,"tt0028333"
"351",1936,"Modern Times",1323,0,"tt0027977"
"352",1936,"Charge of the Light Brigade, The",1237,1,"tt0027438"
"353",1936,"San Francisco",1359,1,"tt0028216"
"354",1936,"Wife vs. Secretary",1360,2,"tt0028505"
"355",1936,"Petrified Forest, The",1369,3,"tt0028096"
"356",1936,"Mr. Deeds Goes to Town",1992,3,"tt0027996"
"357",1936,"Born to Dance",2363,3,"tt0027387"
"358",1936,"Revolt of the Zombies",2554,0,"tt0028174"
"359",1936,"Earthworm Tractors",2699,1,"tt0027562"
"360",1936,"Osaka Elegy",2853,3,"tt0028021"
"361",1936,"Theodora Goes Wild",3280,3,"tt0028355"
"362",1936,"Great Ziegfeld, The",3401,3,"tt0027698"
"363",1936,"Mandarin Mystery, The",3548,3,"tt0029207"
"364",1936,"Only Son, The",3560,3,"tt0027752"
"365",1936,"Camille",3598,3,"tt0028683"
"366",1936,"Pennies from Heaven",4010,3,"tt0028092"
"367",1936,"Romeo and Juliet",4069,3,"tt0028203"
"368",1936,"Bullets or Ballots",4143,3,"tt0027407"
"369",1936,"My Man Godfrey",5852,2,"tt0028010"
"370",1936,"Sabotage",5926,3,"tt0028212"
"371",1936,"Fury",6096,2,"tt0027652"
"372",1936,"Murder at Glen Athol",6174,3,"tt0028000"
"373",1936,"Il caso Valdemar",6210,0,"tt3427056"
"374",1936,"These Three",7227,2,"tt0028356"
"375",1936,"Secret Agent",7308,3,"tt0028231"
"376",1936,"Dracula&#39;s Daughter",7992,3,"tt0027545"
"377",1937,"Shall We Dance",597,1,"tt0029546"
"378",1937,"Stage Door",631,3,"tt0029604"
"379",1937,"Stella Dallas",795,3,"tt0029608"
"380",1937,"Conquest",1332,2,"tt0028739"
"381",1937,"Topper",1335,2,"tt0029682"
"382",1937,"Lost Horizon",1336,2,"tt0029162"
"383",1937,"Prisoner of Zenda, The",1240,1,"tt0029442"
"384",1937,"Knight Without Armor",1244,2,"tt0029087"
"385",1937,"Parnell",1358,2,"tt0029377"
"386",1937,"Snow White and the Seven Dwarfs",1976,3,"tt0029583"
"387",1937,"A Day at the Races",2382,2,"tt0028772"
"388",1937,"Nothing Sacred",3968,0,"tt0029322"
"389",1937,"Make Way for Tomorrow",4255,3,"tt0029192"
"390",1937,"Murder at the Baskervilles (Silver Blaze)",5617,1,"tt0029565"
"391",1937,"Pepe le Moko",5740,2,"tt0029453"
"392",1937,"Awful Truth, The",6554,3,"tt0028597"
"393",1937,"Girl Was Young, The",7317,3,"tt0029811"
"394",1937,"Marked Woman",7877,3,"tt0029217"
"395",1937,"Bizarre, Bizarre",8473,3,"tt0027552"
"396",1937,"Life of Emile Zola, The",8478,1,"tt0029146"
"397",1937,"Wee Willie Winkie",10352,3,"tt0029751"
"398",1938,"Carefree",594,2,"tt0029971"
"399",1938,"Lady Vanishes, The",620,3,"tt0030341"
"400",1938,"Holiday",994,3,"tt0030241"
"401",1938,"Dawn Patrol, The",1238,0,"tt0030044"
"402",1938,"Jezebel",1367,2,"tt0030287"
"403",1938,"Sisters, The",1378,2,"tt0030755"
"404",1938,"Boys Town",2467,0,"tt0029942"
"405",1938,"Mr. Wong, Detective",2590,1,"tt0030473"
"406",1938,"Adventures of Robin Hood, The",3103,2,"tt0029843"
"407",1938,"Bluebeard&#39;s Eighth Wife",3283,2,"tt0029929"
"408",1938,"Bringing Up Baby",3400,3,"tt0029947"
"409",1938,"Four Daughters",3951,3,"tt0030149"
"410",1938,"Mad Miss Manton, The",4495,3,"tt0030396"
"411",1938,"Baker&#39;s Wife, The",6042,1,"tt0030127"
"412",1938,"Angels with Dirty Faces",7290,1,"tt0029870"
"413",1939,"Wizard of Oz, The",174,3,"tt0032138"
"414",1939,"Gone with the Wind",291,3,"tt0031381"
"415",1939,"Dodge City",383,2,"tt0031235"
"416",1939,"Women, The",588,3,"tt0032143"
"417",1939,"Stagecoach",593,3,"tt0031971"
"418",1939,"Wuthering Heights",1239,2,"tt0032145"
"419",1939,"Goodbye, Mr. Chips",1245,2,"tt0031385"
"420",1939,"Ninotchka",1259,3,"tt0031725"
"421",1939,"Juarez",1368,2,"tt0031516"
"422",1939,"Dark Victory",1370,3,"tt0031210"
"423",1939,"Essex and Elizabeth",1371,2,"tt0031826"
"424",1939,"Young Mr. Lincoln",1382,2,"tt0032155"
"425",1939,"Jesse James",1383,2,"tt0031507"
"426",1939,"Drums Along the Mohawk",1384,2,"tt0031252"
"427",1939,"Story of Alexander Graham Bell, The",1385,2,"tt0031981"
"428",1939,"Flying Deuces, The",1973,0,"tt0031322"
"429",1939,"Hunchback of Notre Dame, The",2086,0,"tt0031455"
"430",1939,"At the Circus",2372,2,"tt0031060"
"431",1939,"Gorilla, The",2555,3,"tt0031387"
"432",1939,"Mr. Wong in Chinatown",2622,1,"tt0031680"
"433",1939,"Of Mice and Men",2851,1,"tt0031742"
"434",1939,"Rules of the Game, The",3089,3,"tt0031885"
"435",1939,"Babes in Arms",3723,3,"tt0031066"
"436",1939,"Destry Rides Again",5634,3,"tt0031225"
"437",1939,"Nancy Drew... Reporter",5763,3,"tt0031709"
"438",1939,"Adventures of Sherlock Holmes, The",5863,3,"tt0031022"
"439",1939,"Mr. Smith Goes to Washington",5946,2,"tt0031679"
"440",1939,"Jamaica Inn",7322,3,"tt0031505"
"441",1939,"Le jour se l&egrave;ve",8098,2,"tt0031514"
"442",1939,"Gulliver&#39;s Travels",8511,0,"tt0031397"
"443",1939,"Love Affair",9038,3,"tt0031593"
"444",1940,"Pinocchio",478,1,"tt0032910"
"445",1940,"Rebecca",618,3,"tt0032976"
"446",1940,"Thief of Bagdad, The",1265,0,"tt0033152"
"447",1940,"Mortal Storm, The",1501,3,"tt0032811"
"448",1940,"Comrade X",1355,2,"tt0032349"
"449",1940,"Boom Town",1356,1,"tt0032273"
"450",1940,"Strange Cargo",1357,0,"tt0033105"
"451",1940,"Return of Frank James, The",1366,0,"tt0032983"
"452",1940,"All This, and Heaven Too",1373,2,"tt0032194"
"453",1940,"Letter, The",1380,2,"tt0032701"
"454",1940,"Grapes of Wrath, The",1387,3,"tt0032551"
"455",1940,"A Chump at Oxford",1975,0,"tt0032339"
"456",1940,"Ape, The",2556,3,"tt0032215"
"457",1940,"Santa Fe Trail",2678,1,"tt0033021"
"458",1940,"His Girl Friday",3033,3,"tt0032599"
